form,a,b,c,omega,phi,N,localisation,hopping,onsite,next onsite,NNN,NNN overtop
MG,10.0,0.1,1.0,3.7,0.0,51.0,0.8552076784869724,0.10328318095743083,-0.6336200512058977,-1.0880475125308606,0.010857533766013438,0.11882124834518193
MG,10.0,0.1,1.0,3.7,1.5707963267948966,51.0,0.8629706523979209,0.2525946874307101,-0.7442289957842445,-1.2473314895223633,-0.05496984271136739,0.1654991097687749
MG,10.0,0.1,1.0,3.8,0.0,51.0,0.8328036002653049,0.1035898156240318,-0.8514241928770359,-1.350469420624786,0.019984809761590352,0.16361401554279367
MG,10.0,0.1,1.0,3.8,1.5707963267948966,51.0,0.8414478941066892,0.2306684964578562,-1.0341607186327773,-1.4492582887734924,-0.051054551056114415,0.16810101568181762
MG,10.0,0.1,1.0,3.9,0.0,51.0,0.8084090398306326,-0.6156990663898125,-0.6581995517562734,0.032090814092968635,0.12304437425694455,-1.3011688298213435
MG,10.0,0.1,1.0,3.9,1.5707963267948966,51.0,0.8166136242836823,-0.5447347481268751,-0.9652748967158474,-0.06473959797776163,0.1876179089240468,-1.4212068560639912
MG,10.0,0.1,1.0,4.0,0.0,51.0,0.7874527682878641,-0.6639078612683356,-0.6504660961078921,0.030726381753103275,0.16569309268060314,-1.20663217139061
MG,10.0,0.1,1.0,4.0,1.5707963267948966,51.0,0.7942396762113032,-0.6271872792799494,-1.231885893244956,-0.11158074950329312,0.15014974066896158,-1.5124366156005673
MG,10.0,0.1,1.0,4.1,0.0,51.0,0.7766666906782099,-0.7129838070146324,-0.28666644191844004,0.12363656787425738,0.20205365912029,-0.881158807382739
MG,10.0,0.1,1.0,4.1,1.5707963267948966,51.0,0.7815783364109679,-0.6986387831287864,-1.4909641615355036,-0.1749918301030968,0.2160185104042669,-1.4801712901455641
MG,10.0,0.1,1.0,4.2,0.0,51.0,0.7812173952850384,-0.3235797086612916,0.5526111615860586,0.6966070632790596,0.2464226540093751,-0.4544993200330177
MG,10.0,0.1,1.0,4.2,1.5707963267948966,51.0,0.7832274159291722,-1.540855737131318,0.5232797508938851,-0.045142391516137546,0.09573690156187664,-0.8762068530730508
MG,10.0,0.1,1.0,4.3,0.0,51.0,0.7995790764455916,0.11081352765711204,1.1839215581522695,1.1813960432736197,0.10792715183936698,-0.2331004723014345
MG,10.0,0.1,1.0,4.3,1.5707963267948966,51.0,0.7978583878734018,0.1264120588709151,1.8120032691575787,1.784876715980074,-0.02037877493074129,0.20059462581246265
MG,10.0,0.1,1.0,4.4,0.0,51.0,0.8246561149340141,0.086948504589959,1.3196383823863047,1.245251934953086,-0.0588008743598825,-0.07173122792592786
MG,10.0,0.1,1.0,4.4,1.5707963267948966,51.0,0.8199922194565356,0.10413493710361388,1.6219415525708714,1.6844891223160663,-0.020970649696960574,0.20537987778245745
MG,10.0,0.1,1.0,4.5,0.0,51.0,0.8493006159993743,0.07999848480629873,1.2564399732195983,1.2522660846159528,-0.026397203642732733,0.10260284938854884
MG,10.0,0.1,1.0,4.5,1.5707963267948966,51.0,0.8438699410424164,0.08183658993522551,1.4319130142280925,1.5841032366289869,-0.02156289250664839,0.21017488345645327
MG,10.0,0.1,1.0,4.6,0.0,51.0,0.8693773992488508,0.03437673514526405,1.1430478026119597,1.2707517119779836,-0.022730264391334392,0.13029520620134885
MG,10.0,0.1,1.0,4.6,1.5707963267948966,51.0,0.8648908757947167,0.059321862982322074,1.2421093108318404,1.4835848707151085,-0.022110205394063283,0.21504897201782894
MG,10.0,0.1,1.0,4.7,0.0,51.0,0.8835267298729632,0.006516294126915218,0.9829702637184328,1.206069881449347,-0.017661993765247342,0.1450305228478207
MG,10.0,0.1,1.0,4.7,1.5707963267948966,51.0,0.8803777531342452,0.03724197180437026,1.0518875933706815,1.3831399936124982,-0.022786408881610758,0.21971070152572625
MG,10.0,0.1,1.0,4.8,0.0,51.0,0.8920518307150883,-0.029910596146406582,0.8213183517098562,1.1492878450709865,-0.02289276858586663,0.1333932950157249
MG,10.0,0.1,1.0,4.8,1.5707963267948966,51.0,0.8899575560065202,0.014922705395683172,0.8619146406162115,1.2826141372826847,-0.02341665816913983,0.2244832312484324
MG,10.0,0.1,1.0,4.9,0.0,51.0,0.8963353656363328,-0.054340133457113436,0.6422890056830676,1.1161097772720738,-0.014842341156033853,0.19481831948849607
MG,10.0,0.1,1.0,4.9,1.5707963267948966,51.0,0.8948741223451926,-0.007397351699490865,0.6719531637118356,1.1820704145872274,-0.02406810949111891,0.22925204338033545
MG,10.0,0.1,1.0,5.0,0.0,51.0,0.8982162126580091,-0.07509933876542281,0.4605837535311367,1.0027177245039725,-0.014076069245734046,0.191080826595538
MG,10.0,0.1,1.0,5.0,1.5707963267948966,51.0,0.8969909176856078,-0.02971887510099565,0.4820029660431802,1.0815048503585996,-0.02474201400087024,0.2340195139098203
MG,10.0,0.1,1.0,5.1,0.0,51.0,0.8991967515444486,-0.08155288822998204,0.2686752004874595,0.8195349210611493,-0.006246963139533283,0.17653145635011214
MG,10.0,0.1,1.0,5.1,1.5707963267948966,51.0,0.8980155112399335,-0.05204346846191863,0.29206475522445463,0.9809276917612276,-0.025443433844986246,0.2387863851804453
MG,10.0,0.1,1.0,5.2,0.0,51.0,0.9000550638248589,-0.11907654861229194,0.08961436990825702,0.8188147571342881,-0.011431883963935916,0.2161922885342466
MG,10.0,0.1,1.0,5.2,1.5707963267948966,51.0,0.8989713838721006,-0.07437040973975358,0.1021361544471202,0.8803334675069968,-0.026173789626698703,0.2435506260904557
MG,10.0,0.1,1.0,5.3,0.0,51.0,0.9009740083358804,-0.14127253152988584,-0.09761723935836107,0.7140272344554102,-0.006575636521299124,0.21496845385388075
MG,10.0,0.1,1.0,5.3,1.5707963267948966,51.0,0.9000852032613335,-0.09670036936799352,-0.08778313590386794,0.7797295208858436,-0.02693768994205744,0.24831507096119035
MG,10.0,0.1,1.0,5.4,0.0,51.0,0.9018277496655444,-0.16146387293762987,-0.2862533442783213,0.6207358093884153,-0.010904706795651113,0.2328444637818565
MG,10.0,0.1,1.0,5.4,1.5707963267948966,51.0,0.9011432481077476,-0.11903370460679455,-0.27769396009677433,0.6791133171441132,-0.027738773016136527,0.25307718983743704
MG,10.0,0.1,1.0,5.5,0.0,51.0,0.9024471275039668,-0.1859050842992923,-0.4734615326232507,0.5376528782792772,-0.0076746805976683685,0.2440059110576465
MG,10.0,0.1,1.0,5.5,1.5707963267948966,51.0,0.9019217667998478,-0.14137095030112246,-0.4675969945893629,0.5784874658682286,-0.028581865463423888,0.257838950191195
MG,10.0,0.1,1.0,5.6,0.0,51.0,0.9028042992252792,-0.2036481806924887,-0.6636671116786547,0.3901737385293933,-0.010453697397357513,0.2184016987863732
MG,10.0,0.1,1.0,5.6,1.5707963267948966,51.0,0.9023685347468496,-0.16371248318567214,-0.6574929022871338,0.4778519082090984,-0.029468053229173955,0.26259960469349924
MG,10.0,0.1,1.0,5.7,0.0,51.0,0.9030039271835256,-0.2296152886959596,-0.8509565784592394,0.3429165684676112,-0.007694891957544894,0.259095469480025
MG,10.0,0.1,1.0,5.7,1.5707963267948966,51.0,0.9025931783710384,-0.1860597755310031,-0.8473820079368883,0.3772064964938677,-0.030406494179897374,0.2673588460846453
MG,10.0,0.1,1.0,5.8,0.0,51.0,0.9031585260382622,-0.2513346127416465,-1.0399717077657809,0.21958084531416186,-0.005183684712078977,0.2408818231474455
MG,10.0,0.1,1.0,5.8,1.5707963267948966,51.0,0.9027672897435772,-0.20841358995794548,-1.0372646551068712,0.2765518533873481,-0.031400809393840136,0.2721174245093799
MG,10.0,0.1,1.0,5.9,0.0,51.0,0.9033255827648864,-0.2733652675545856,-1.2290077766179868,0.14408845673575432,-0.006310483803121104,0.2694739416902196
MG,10.0,0.1,1.0,5.9,1.5707963267948966,51.0,0.902989175985292,-0.2307754856017452,-1.227141099130051,0.17588765790431554,-0.03245777360669758,0.2768745524198582
MG,10.0,0.1,1.0,6.0,0.0,51.0,0.9035088720793821,-0.29494632094732204,-1.4184453106046344,0.045316175319310564,-0.00606350503916709,0.27662765063374856
MG,10.0,0.1,1.0,6.0,1.5707963267948966,51.0,0.9032394382625092,-0.2531470431656297,-1.4170114517794514,0.07521490748295008,-0.03358494779931425,0.28163138804248666
MG,10.0,0.1,1.0,6.1,0.0,51.0,0.9036707402871512,-0.31806346901244176,-1.6071956093651254,-0.05680477039582954,-0.006133190302530824,0.2740584675379829
MG,10.0,0.1,1.0,6.1,1.5707963267948966,51.0,0.9034562000343408,-0.27553007084400144,-1.606875805030238,-0.025467918922090445,-0.03479026961858593,0.28638738056651125
MG,10.0,0.1,1.0,6.2,0.0,51.0,0.9037787254316504,-0.3391358899622189,-1.7972035450715018,-0.15666778559737896,-0.005930225801020389,0.28779791090665635
MG,10.0,0.1,1.0,6.2,1.5707963267948966,51.0,0.9036028290463964,-0.2979269814805747,-1.7967340210130782,-0.12616115724465374,-0.036084206894798236,0.29114256455881754
MG,10.0,0.1,1.0,6.3,0.0,51.0,0.9038420558620436,-0.36037470144644507,-1.9867207977148675,-0.2519027562417718,-0.006142364009208992,0.2942296858961885
MG,10.0,0.1,1.0,6.3,1.5707963267948966,51.0,0.9036816755952344,-0.3203403454310743,-1.9865859086178628,-0.22686568045556965,-0.03747792946923632,0.29589717753739914
MG,10.0,0.1,1.0,6.4,0.0,51.0,0.9038867588595932,-0.38365827364721655,-2.17547259525432,-0.349577315921062,-0.005541035195288001,0.2953457545771837
MG,10.0,0.1,1.0,6.4,1.5707963267948966,51.0,0.9037307372354516,-0.34277336786351714,-2.1764311362310966,-0.3275825661168541,-0.03898512741835943,0.3006513158090623
MG,10.0,0.1,1.0,6.5,0.0,51.0,0.9039282258432659,-0.4026433819839556,-2.365854091463398,-0.4439685383287768,-0.006442028046784651,0.3040215233143657
MG,10.0,0.1,1.0,6.5,1.5707963267948966,51.0,0.9037909252754878,-0.3652299171555817,-2.3662691310799167,-0.42831319754326536,-0.04062206636056083,0.3054049509086704
MG,10.0,0.1,1.0,6.6,0.0,51.0,0.9039750387261314,-0.42988088612530106,-2.5534739432519284,-0.5338835362495837,-0.005334122221945435,0.3100472233645193
MG,10.0,0.1,1.0,6.6,1.5707963267948966,51.0,0.9038668273515956,-0.3877144705157166,-2.556099124697853,-0.5290596718837091,-0.042408414597655764,0.3101583176942181
MG,10.0,0.1,1.0,6.7,0.0,51.0,0.9040238662537023,-0.4454683058541178,-2.7450368090049024,-0.6373041170514121,-0.006627467835414746,0.3138578680876212
MG,10.0,0.1,1.0,6.7,1.5707963267948966,51.0,0.9039387059821792,-0.4102327703563974,-2.7459200272384967,-0.629823814980515,-0.04436760030900128,0.3149114224860361
MG,10.0,0.1,1.0,6.8,0.0,51.0,0.9040606062345341,-0.4693221759359787,-2.9345587435792067,-0.7484465517505704,-0.006549726044692241,0.32250027063723274
MG,10.0,0.1,1.0,6.8,1.5707963267948966,51.0,0.9039927594301238,-0.4327914810718457,-2.9357303946091884,-0.7306090995083399,-0.04652910023411727,0.3196644832363223
MG,10.0,0.1,1.0,6.9,0.0,51.0,0.9040815004716148,-0.4885777552412266,-3.124252627114404,-0.8307704762529198,-0.006817608964464839,0.32415915841546444
MG,10.0,0.1,1.0,6.9,1.5707963267948966,51.0,0.9040238954045884,-0.4553992310321998,-3.1255282123919446,-0.8314190547548341,-0.04892926336490579,0.3244175001538757
MG,10.0,0.1,1.0,7.0,0.0,51.0,0.9040925594524238,0.9547220105632866,2.983804805837756,-0.5940676024903085,-0.1686899601926243,-0.016958514591208014
MG,10.0,0.1,1.0,7.0,1.5707963267948966,51.0,0.9040364998605298,0.8910629562930719,2.9818664382170907,-0.6345827325881646,-0.14972449749439296,-0.01373794666207459
MG,10.0,0.1,1.0,7.1,0.0,51.0,0.9040947511014504,0.9519307841042408,2.884232166432858,-0.7074325448845573,-0.17021557738197876,-0.012170451022507406
MG,10.0,0.1,1.0,7.1,1.5707963267948966,51.0,0.9040449043994839,0.8934546176358826,2.882240791093571,-0.72878543161326,-0.1528700841618336,-0.014102011870862763
MG,10.0,0.1,1.0,7.2,0.0,51.0,0.9040899879543522,0.9546157619524416,2.7844713592092263,-0.7793394145038731,-0.17348746543008367,-0.0173107823826878
MG,10.0,0.1,1.0,7.2,1.5707963267948966,51.0,0.9040550654112384,0.8956417933978446,2.7825891368212696,-0.8230697149112773,-0.155968392605078,-0.014451917942890516
MG,10.0,0.1,1.0,7.3,0.0,51.0,0.9040839998330641,0.9516748708961928,2.68475880391748,-0.903604192231189,-0.1756516253865474,-0.0178378026294668
MG,10.0,0.1,1.0,7.3,1.5707963267948966,51.0,0.9040612913642514,0.8976440554368083,2.682914979180345,-0.9174327998516728,-0.15902411832556018,-0.014794023062935212
MG,10.0,0.1,1.0,7.4,0.0,51.0,0.904076917616797,0.9531848917195216,2.585503514746374,-0.962841823039422,-0.1780513687993352,-0.019738311059974097
MG,10.0,0.1,1.0,7.4,1.5707963267948966,51.0,0.9040626147132959,0.8994791987069476,2.5832211137937438,-1.0118550628770318,-0.16204160840993515,-0.015116620980128719
MG,10.0,0.1,1.0,7.5,0.0,51.0,0.9040664835092692,0.9512703252799444,2.485118683947812,-1.0724017408681852,-0.180257575863656,0.0036731378716281134
MG,10.0,0.1,1.0,7.5,1.5707963267948966,51.0,0.9040593001652959,0.9011618754553481,2.483510094813362,-1.1063439951106877,-0.16502394978199034,-0.01543501122012249
MG,10.0,0.1,1.0,7.6,0.0,51.0,0.9040477864809768,0.9539597200058548,2.3852487463463383,-1.1519723782870177,-0.182910382835203,-0.01738088953685572
MG,10.0,0.1,1.0,7.6,1.5707963267948966,51.0,0.9040421939638208,0.9027058729783181,2.3837839576767874,-1.2008885930514666,-0.16797474777218827,-0.01574367730436061
MG,10.0,0.1,1.0,7.7,0.0,51.0,0.9039984287260407,0.9506711333119692,2.285295351233217,-1.2838748647335567,-0.1848564761701581,-0.01798971714777093
MG,10.0,0.1,1.0,7.7,1.5707963267948966,51.0,0.9039948374281312,0.904122928900004,2.2840444233230284,-1.295489505917324,-0.17089659165619656,-0.016049371311566613
MG,10.0,0.1,1.0,7.8,0.0,51.0,0.9038840244977898,0.9418334465400559,2.185938491899416,-1.2945435347086631,-0.18659407307610207,-0.02090190902449357
MG,10.0,0.1,1.0,7.8,1.5707963267948966,51.0,0.9038907156334036,0.9054240993882092,2.184293104308485,-1.3901311548075324,-0.17379207309541278,-0.016340789013367267
MG,10.0,0.1,1.0,7.9,0.0,51.0,0.9036790956449621,0.9429289889821024,2.084817733238012,-1.3889206026134486,-0.18906753317344788,-0.016059394244424863
MG,10.0,0.1,1.0,7.9,1.5707963267948966,51.0,0.9036974806984301,0.9066182609422946,2.0845314020594623,-1.4848204438641663,-0.17666307963085726,-0.016630559216547908
MG,10.0,0.1,1.0,8.0,0.0,51.0,0.9033775106366352,0.942352729322239,1.9840807986216296,-1.4797615972424865,-0.1910647663510996,-0.013266387663562123
MG,10.0,0.1,1.0,8.0,1.5707963267948966,51.0,0.903404306931323,0.9077143648936421,1.984760293669915,-1.5795506535610186,-0.17951159952129206,-0.016915024303325688
MG,10.0,0.1,1.0,8.1,0.0,51.0,0.9030040813197596,0.9416852847790206,1.88234298976802,-1.5763578516790555,-0.19256904650823484,-0.017350370447713273
MG,10.0,0.1,1.0,8.1,1.5707963267948966,51.0,0.903038082798755,0.9087199798978643,1.88498085467186,-1.6743183973645095,-0.18233907930084906,-0.017194520399924938
MG,10.0,0.1,1.0,8.2,0.0,51.0,0.9026211236321466,0.9406208930083648,1.777491270766672,-1.6678329668472969,-0.1932653289617012,-0.015571972096922057
MG,10.0,0.1,1.0,8.2,1.5707963267948966,51.0,0.9026562113140136,0.909642144876713,1.7851939760659674,-1.7691214588335922,-0.18514644457685786,-0.017470279033816486
MG,10.0,0.1,1.0,8.3,0.0,51.0,0.9023059615169596,0.9366869098133698,1.6549662123257811,-1.7634626489033636,-0.19052691338757968,-0.017134910145526996
MG,10.0,0.1,1.0,8.3,1.5707963267948966,51.0,0.9023335781830759,0.9104883681524242,1.6854003200037064,-1.8639567104849044,-0.1879307466486332,-0.017742679076610895
