-2.891119150680299*^-8-4.484788377101869*^-8*I,1.0000000138979481,-1.8656498054769877*^-8-7.560978579872956*^-8*I,5.663324326513064*^-8-3.432187003434593*^-8*I,5.6918001298256193*^-8-2.9575700568795146*^-7*I,1.3535864769320671*^-8+4.0661049387130984*^-8*I,-9.680800317629634*^-9-4.095063167770977*^-7*I,-2.118049417104695*^-8+7.626778247576903*^-8*I,-2.2891538165037417*^-8-2.8983132971362245*^-7*I,3.201071381228604*^-8-3.522418956718567*^-8*I,1.1686479922667914*^-8-3.488552293787251*^-7*I,-1.9159831259746296*^-8+2.934907634833695*^-8*I,-7.410632630684829*^-9-2.0718000820242712*^-7*I,2.9469805554183104*^-9-2.1639612882546285*^-8*I,4.8925042767100635*^-9-1.298992003653037*^-7*I,-1.0473225746723824*^-8+1.576650089124815*^-8*I,-3.2283883552586268*^-9-2.8292290694914905*^-8*I,2.949668530261018*^-9-1.1389402060899973*^-8*I,2.131794615833904*^-9-1.9103599201923223*^-8*I,-2.920891625790567*^-9+8.171958634411017*^-9*I,-1.410208665120205*^-9+3.1661134605298196*^-9*I,1.8350332225969268*^-9-5.836419496981777*^-9*I,9.359883770820865*^-10-4.821239963971635*^-9*I,-1.1626516693841182*^-9+4.178977994857906*^-9*I,-9.601321127039597*^-10+2.5746094372824425*^-9*I,7.541903051530106*^-9+2.0704856569989044*^-9*I,-9.601256803493108*^-10+2.644629489351181*^-9*I,-1.1713070097174594*^-9+4.179202840759686*^-9*I,9.360304840250189*^-10-4.223422719245714*^-9*I,1.8140677675304584*^-9-5.835988297314358*^-9*I,-1.4101547013423144*^-9+5.585682825586287*^-9*I,-2.794379803938707*^-9+8.172458589877903*^-9*I,2.1318229091737972*^-9-9.404623258727573*^-9*I,4.039655755738725*^-9-1.1388934978713688*^-8*I,-3.2283737870508755*^-9+7.379614086983752*^-9*I,-6.711535140146996*^-9+1.5766911825635075*^-8*I,4.892504304465639*^-9-2.566148639743806*^-8*I,9.569785196922309*^-9-2.1639315837444852*^-8*I,-7.41064058279201*^-9+8.78728252311879*^-9*I,-1.4429802581983342*^-8+2.9349146265634244*^-8*I,1.1686452500159206*^-8-3.9306396015202814*^-8*I,2.9164889159966068*^-8-3.522433353701748*^-8*I,-2.2891576377526146*^-8+4.7203605716828016*^-8*I,-3.0786088699163994*^-8+7.626761299637689*^-8*I,-9.680834398007043*^-9-8.154313115529173*^-8*I,-2.7598457408295474*^-9+4.066095181933491*^-8*I,5.691796378659575*^-8-2.412057057991862*^-8*I,2.5296159514298644*^-8-3.432190880289367*^-8*I,-1.8656542621550698*^-8+5.349553834508264*^-8*I,-1.17755287465382e-8,-2.8911215393945255*^-8-2.6496181720953505*^-8*I
1.000000013897938+1.6171622252502225*^-8*I,-4.756768852420823*^-8-7.557327395587584*^-8*I,1.00000008148573-1.6171622191318276*^-8*I,3.826148986876832*^-8-2.468743764397777*^-7*I,8.173610260148179*^-8-3.214159328797188*^-8*I,4.723720425925393*^-8-6.642259912312944*^-7*I,-7.390952825453434*^-9+1.1854638638998119*^-7*I,-3.257235037940065*^-8-7.091129548662272*^-7*I,1.0469758952164065*^-8+5.8397346838934956*^-8*I,-1.1205096564145811*^-8-6.295809257493641*^-7*I,1.2849304266426831*^-8-1.3845125529456222*^-8*I,4.275857286295537*^-9-5.767542130633242*^-7*I,-1.621274962896859*^-8+1.34153796424986*^-8*I,-2.518126915318497*^-9-3.489931331730909*^-7*I,-7.526221493248109*^-9-9.63866085410774*^-9*I,1.664111931587442*^-9-1.6977511878413636*^-7*I,-7.523579745316589*^-9+6.861372120084507*^-9*I,-1.0965786681471634*^-9-4.877828670241998*^-8*I,0.-4.8578774031919115*^-9*I,7.21581693702289*^-10-1.7861011871883508*^-8*I,-1.0859542223795593*^-9+3.420626024536506*^-9*I,-4.736793839110742*^-10-1.0902376016539094*^-9*I,6.628840965722249*^-10-2.3933924837999685*^-9*I,3.03892473685341*^-10-2.557118860214985*^-9*I,-2.8190907941372245*^-10+1.7349064838342334*^-9*I,-3.0031300995620713*^-9-2.745051956812076*^-10*I,-2.9055524652932263*^-10+1.7351307283248246*^-9*I,3.0394072675354877*^-10-1.8459280008996506*^-9*I,6.33288818954747*^-10-2.39273727016832*^-9*I,-4.735841406533492*^-10+2.08879976609706*^-9*I,-9.803715894651788*^-10+3.4215573571981864*^-9*I,7.216634824447343*^-10-5.037637438795808*^-9*I,1.2452731623646685*^-9-4.856911284769583*^-9*I,-1.096536389466607*^-9-6.17450044092663*^-10*I,-2.6718837004002793*^-9+6.862250102206106*^-9*I,1.6641258596822306*^-9-2.1601965159201612*^-8*I,2.8582585118175352*^-9-9.637952160150675*^-9*I,-2.5181347423908207*^-9-1.3366370526551442*^-8*I,-4.860020408153316*^-9+1.3415747478856615*^-8*I,4.27582298734297*^-9-3.61261016721491*^-8*I,1.473509352728497*^-8-1.3845199530593561*^-8*I,-1.1205163326713508*^-8+2.048904342542326*^-8*I,-1.6211726440451546*^-9+5.83970331218138*^-8*I,-3.2572421891641223*^-8-5.631729478815395*^-8*I,-3.354593018298213*^-8+1.1854611906678348*^-7*I,4.723713244864092*^-8-1.0406431959106108*^-7*I,2.2536305342713003*^-8-3.214172864771861*^-8*I,3.8261409179840555*^-8+8.179099142971015*^-8*I,1.3520651605258838*^-8-1.6171642087267686*^-8*I,-4.7567756594757427*^-8-2.7000608326094035*^-8*I,-1.1775542194114585*^-8+1.6171641504842773*^-8*I
-1.8656489405438625*^-8+1.4159005059792929*^-8*I,1.0000000814857184+3.43218660575634*^-8*I,9.350287006031771*^-9-6.404239851585974*^-8*I,1.0000001113901005-3.432187075548493*^-8*I,2.8580674724457134*^-8-4.406397051104545*^-7*I,5.724407045083757*^-8+8.880526491838553*^-9*I,2.434565332751909*^-8-9.389874861494347*^-7*I,2.2797146849093397*^-8+1.196472589370463*^-7*I,-2.0885954523167105*^-8-1.0518183003881939*^-6*I,-8.817755342300365*^-9+8.916015269336903*^-8*I,-1.8615753973050264*^-8-8.692093397943031*^-7*I,1.579436256955724*^-8-3.2042918172003624*^-8*I,9.168380687631946*^-9-7.512024158728439*^-7*I,-2.668586034267062*^-8+2.73566990086278*^-8*I,-5.746522436719803*^-9-4.123666280976981*^-7*I,-4.576563836233838*^-9-1.982506513401355*^-8*I,3.79593085349933*^-9-2.0322713978988302*^-7*I,-1.0444563922074046*^-8+1.423673669900008*^-8*I,-2.5067779154536174*^-9-5.084163705922902*^-8*I,1.863600320069214*^-9-1.0164507059604622*^-8*I,1.658149556896249*^-9-2.3477414096363986*^-8*I,-2.258374801403229*^-9+7.227510837280946*^-9*I,-1.1006672266319906*^-9+1.2093484289027317*^-9*I,1.4105418257026603*^-9-5.15272884770443*^-9*I,1.1496233496416375*^-9-4.099038828667625*^-9*I,-9.275626970723109*^-9-2.4900610270267946*^-9*I,1.1496647384090508*^-9-3.4145155602478063*^-9*I,1.3809919301860374*^-9-5.1520768893797025*^-9*I,-1.1005660944217455*^-9+4.706761258669993*^-9*I,-2.1613590717520226*^-9+7.228665549188306*^-9*I,1.6582722330710231*^-9-9.028094508490971*^-9*I,3.0592742592677746*^-9-1.0163109359806578*^-8*I,-2.506682596735421*^-9+3.938382213714121*^-9*I,-5.4662731563404066*^-9+1.423811243468103*^-8*I,3.795972106958312*^-9-3.151156527647127*^-8*I,6.897915615870082*^-9-1.9823890358563225*^-8*I,-5.746516876931063*^-9-9.1191102340289*^-9*I,-1.157154260432447*^-8+2.735747900978704*^-8*I,9.168344587809603*^-9-6.03789118751496*^-8*I,2.4304880564748887*^-8-3.2042695904426646*^-8*I,-1.8615830266188738*^-8+3.065418198606849*^-8*I,-1.6050929381190154*^-8+8.915990711114887*^-8*I,-2.0886054885593808*^-8-9.241779361516028*^-8*I,-4.380987211893839*^-9+1.196468468830823*^-7*I,2.434554346401191*^-8-9.92168701699458*^-8*I,-8.249790560757586*^-9+8.880221679976365*^-9*I,2.8580562187741076*^-8+5.586264431726621*^-8*I,1.0760820229674395*^-8-3.432198914385993*^-8*I,9.350185681700901*^-9-2.890996777183975*^-10*I,1.352063031152817*^-8+3.432184365000027*^-8*I,-1.8656533276595333*^-8-5.450439068459139*^-8*I
5.663326756513709*^-8+3.630049086158117*^-8*I,3.8261501755093574*^-8+2.0848534837413919*^-7*I,1.000000111390094+1.2012713225761343*^-8*I,-3.3053977610553176*^-10-9.191364234374926*^-8*I,1.0000000973347165-1.2012719178963278*^-8*I,5.689099332253922*^-9-5.672974917334625*^-7*I,8.619414577741569*^-8-9.52806585918971*^-9*I,3.6032020207799054*^-8-1.2491696925632246*^-6*I,2.744846943486534*^-9+1.6141135872840534*^-7*I,-2.8296654359070972*^-8-1.3145736804614162*^-6*I,-5.917904291607989*^-9+8.605202048884482*^-8*I,-1.3723272910409756*^-8-1.0672919926259447*^-6*I,5.320758330828296*^-9-2.4131244851692477*^-8*I,5.94000113332549*^-9-8.587943747491678*^-7*I,-2.3736134318469437*^-8+2.1594936161962217*^-8*I,-3.6146958733510037*^-9-4.706986218881792*^-7*I,-7.497572507286776*^-9-1.537141289636355*^-8*I,2.3857394393367315*^-9-2.201800582449724*^-7*I,-8.609802412684608*^-9+1.0859088902178026*^-8*I,-1.57018685727206*^-9-5.920052200141259*^-8*I,6.911356625893816*^-10-7.633554977358311*^-9*I,1.030473789631614*^-9-2.307185975831936*^-8*I,-1.4990908783416024*^-9+5.334690473390014*^-9*I,-6.606250442520167*^-10-2.5956124205876727*^-10*I,6.319496592688267*^-10-3.867604442372692*^-9*I,7.117812019341535*^-9+5.914121940423102*^-10*I,6.110734904196669*^-10-3.867175630448285*^-9*I,-6.605293083328245*^-10+3.4161898187158538*^-9*I,-1.4019522097050152*^-9+5.335841904208681*^-9*I,1.0306020065131705*^-9-7.394328283941585*^-9*I,1.8783459752869103*^-9-7.631933876314867*^-9*I,-1.5700503674942468*^-9+8.618793918664531*^-10*I,-3.6522828216617453*^-9+1.0860895460202169*^-8*I,2.38583290276817*^-9-3.008698090063437*^-8*I,4.103527767584936*^-9-1.5369740083109904*^-8*I,-3.6146652155830128*^-9-1.7433414017635684*^-8*I,-7.531883398220751*^-9+2.159618230686465*^-8*I,5.939977856805889*^-9-6.15509008952209*^-8*I,1.7593367920827555*^-8-2.413061104888939*^-8*I,-1.3723351049294008*^-8+1.6894048173905116*^-8*I,-6.481096107707751*^-9+8.605207010131066*^-8*I,-2.8296765672806978*^-8-9.724557966346651*^-8*I,-1.8810714229322567*^-8+1.614110152043981*^-7*I,3.6031884323439733*^-8-1.4310392461792387*^-7*I,2.0915157885117996*^-8-9.528516101397552*^-9*I,5.688949486840067*^-9+9.27477292235831*^-8*I,-2.0025241419946438*^-8-1.2013004417682835*^-8*I,-3.306744079945023*^-10-2.6202011519466737*^-8*I,1.0760791996182462*^-8+1.2012590599588514*^-8*I,3.826142207230543*^-8-2.9376825702059896*^-8*I,2.5296165672566984*^-8+3.630044557217954*^-8*I
5.6917999237404704*^-8+3.188187588590792*^-7*I,8.173616836137931*^-8-6.339187421439441*^-9*I,2.85806842394154*^-8+3.465081901436407*^-7*I,1.0000000973347143+3.178051847234392*^-8*I,-2.3222131988187567*^-8-7.599249427545963*^-8*I,1.0000001267323777-3.178052421243079*^-8*I,1.7375421830501114*^-8-7.358677372473029*^-7*I,6.613339700173304*^-8+4.756557176534958*^-9*I,2.862129567030025*^-8-1.5039961959003268*^-6*I,5.570370680343939*^-9+1.7501044002633022*^-7*I,-2.3404222330991598*^-8-1.548082234873502*^-6*I,-1.6398308148868335*^-8+1.052878023400859*^-7*I,-1.6951699781513607*^-8-1.21010861297065*^-6*I,8.2705918572068*^-9-3.343838039927325*^-8*I,8.071854552815783*^-9-9.627272878215378*^-7*I,-2.6657081396430637*^-8+2.883279366672206*^-8*I,-5.024882065995939*^-9-5.14455050775577*^-7*I,-5.662866439659631*^-9-2.0585626915837675*^-8*I,3.322345426548523*^-9-2.428650290892311*^-7*I,-9.7824006187186*^-9+1.459831821309312*^-8*I,-2.1979026654239675*^-9-6.206969259091931*^-8*I,1.4507923612461227*^-9-1.0318124426402015*^-8*I,1.4588200907689197*^-9-2.6134161619306074*^-8*I,-1.960706534631651*^-9+7.310584527086216*^-9*I,-1.552577177932335*^-9+1.0811077960841236*^-9*I,1.298391482263131*^-8+3.077153142826311*^-9*I,-1.5525233876267919*^-9+4.2339832959684*^-9*I,-1.8548237321058814*^-9+7.311511255288859*^-9*I,1.458941491921939*^-9-9.368464460263975*^-9*I,2.638243082331293*^-9-1.0316506845169664*^-8*I,-2.197762673239456*^-9+2.920701695861188*^-9*I,-4.8332258473227085*^-9+1.4600348438785333*^-8*I,3.3224802041542656*^-9-3.556960374042477*^-8*I,5.91751907197402*^-9-2.058352517088056*^-8*I,-5.024800690117681*^-9-1.5632245322274215*^-8*I,-1.0326271362298689*^-8+2.8834537875406464*^-8*I,8.071855926716776*^-9-7.387689794316889*^-8*I,2.1633036417778584*^-8-3.343728177861884*^-8*I,-1.6951767409541446*^-8+2.2894640321665518*^-8*I,-1.3192553036112109*^-8+1.0528826326254903*^-7*I,-2.340433705172451*^-8-1.2249080672583584*^-7*I,-9.240842533883575*^-9+1.750103902939857*^-7*I,2.8621149436580673*^-8-1.613252553160728*^-7*I,6.48543798525969*^-9+4.7561728273044886*^-9*I,1.7375248007739375*^-8+9.349014326372751*^-8*I,9.139757506382296*^-9-3.178095608289884*^-8*I,-2.3222300409020402*^-8-1.1279260153181291*^-8*I,-2.0025279323654388*^-8+3.17802295328302*^-8*I,2.8580572039235697*^-8-5.527430080946861*^-8*I,2.2536320982979863*^-8-6.339333166331592*^-9*I,5.6917961968605546*^-8+7.754358980617553*^-8*I
1.3535919825974352*^-8-8.11204516841549*^-8*I,4.723718869878435*^-8+6.315452587390598*^-7*I,5.724416880965866*^-8-5.284351625386053*^-9*I,5.689117073270911*^-9+5.050082722856617*^-7*I,1.0000001267323773+2.682512462479509*^-8*I,-1.1535838171858326*^-8-8.749206339153945*^-8*I,1.0000001052197938-2.6825128292006348*^-8*I,9.964647065818788*^-9-8.666624905705167*^-7*I,6.86019694523532*^-8-3.4179200674468663*^-9*I,3.351370655036573*^-8-1.7411276371671492*^-6*I,-4.946221935503425*^-9+2.0718788887692805*^-7*I,-2.6632711560420352*^-8-1.737937550699359*^-6*I,-1.3449086275375994*^-8+1.0978904925271741*^-7*I,-1.4819891033107657*^-8-1.3506488410886793*^-6*I,5.3498298013821*^-9-3.138632908817558*^-8*I,6.66169332978056*^-9-1.054008176844803*^-6*I,-2.482234890202606*^-8+2.7487927324645012*^-8*I,-4.088261083834421*^-9-5.633800607144177*^-7*I,-6.8355649422008335*^-9-1.9403680234584322*^-8*I,2.694641908912443*^-9-2.605925176523225*^-7*I,-9.023009915620772*^-9+1.3605006610472246*^-8*I,-1.7686602321598244*^-9-6.809538937469339*^-8*I,9.718742191230922*^-10-9.489639922597552*^-9*I,1.1353149011184005*^-9-2.615698016576629*^-8*I,-1.2761741108313629*^-9+6.8433860504212494*^-9*I,-1.0603475394537043*^-8-9.617182062970813*^-10*I,-1.149371771369534*^-9+6.843885346724038*^-9*I,1.1353945665593113*^-9-9.047675131957109*^-9*I,2.168190195092623*^-9-9.488244084076805*^-9*I,-1.7685275952028512*^-9+1.6829682410373896*^-9*I,-4.073445112467988*^-9+1.3607035004792901*^-8*I,2.694780077902581*^-9-3.640576714017528*^-8*I,4.736572944627482*^-9-1.9401353187724077*^-8*I,-4.088138924607243*^-9-2.0013156357478336*^-8*I,-8.512284026956918*^-9+2.749010321290855*^-8*I,6.6617463385931774*^-9-7.730613442278928*^-8*I,1.883865752283498*^-8-3.138473416316131*^-8*I,-1.481993294055739*^-8+1.9148783197221863*^-8*I,-9.152825582714079*^-9+1.0978997283948232*^-7*I,-2.663281566811504*^-8-1.3129540408877413*^-7*I,-1.595225045808446*^-8+2.0718824656947998*^-7*I,3.3513558012066014*^-8-1.964561954152069*^-7*I,1.6055311125723337*^-8-3.4180134569811336*^-9*I,9.964467129891519*^-9+1.1429128989212422*^-7*I,-5.2899011230428394*^-9-2.682549786399431*^-8*I,-1.153602936440623*^-8-1.9907346182403554*^-8*I,9.139708209010555*^-9+2.6824688938672664*^-8*I,5.68896792348117*^-9-6.231388460802884*^-8*I,-8.249778544328068*^-9-5.2846618207943135*^-9*I,4.7237116412857105*^-8+1.0566151758632819*^-7*I,-2.759832109372473*^-9-8.112055251908128*^-8*I
-9.680818886109721*^-9+3.5376383046144776*^-7*I,-7.3908532800814886*^-9-1.1692883374854315*^-7*I,2.4345646992308956*^-8+9.381490486144054*^-7*I,8.619427909264954*^-8-1.1598958389981063*^-8*I,1.7375445394984812*^-8+6.505793797389731*^-7*I,1.0000001052197982+3.8622915405870267*^-8*I,-1.8946643942988062*^-8-8.635179354998788*^-8*I,1.0000001080960996-3.8622918266593126*^-8*I,1.4857008115085057*^-8-9.93227942175206*^-7*I,5.813978618679494*^-8+3.220419084338918*^-9*I,3.028518906142419*^-8-1.946473636200348*^-6*I,-2.000731878781803*^-9+2.2711507313187412*^-7*I,-2.4500960741167778*^-8-1.9269065457049297*^-6*I,-1.6369529856619103*^-8+1.2400904838814371*^-7*I,-1.6230101981123957*^-8-1.480460668578928*^-6*I,7.184759080215708*^-9-3.6831861087462585*^-8*I,7.598351675283666*^-9-1.149894182921341*^-6*I,-2.5995043943793927*^-8+3.181850877332156*^-8*I,-4.715949372333106*^-9-6.078798237776932*^-7*I,-6.0763044613248995*^-9-2.24712408326852*^-8*I,3.1240440408197845*^-9-2.811675905185851*^-7*I,-9.502779809572592*^-9+1.5792052347149098*^-8*I,-2.072818435124024*^-9-7.12180002791916*^-8*I,1.1887077606964613*^-9-1.1137973223889347*^-8*I,2.3072884922092918*^-9-2.41927584360479*^-8*I,-2.0109829416769388*^-8-5.68628794448919*^-9*I,2.3073139128471087*^-9-9.531506405364652*^-9*I,2.4060412412429955*^-9-1.1137003723883917*^-8*I,-2.0727290430885836*^-9+2.5603823787304577*^-9*I,-4.544195696815079*^-9+1.5793859707238147*^-8*I,3.1241711509477632*^-9-4.0229577771256226*^-8*I,5.496346135169805*^-9-2.2468915391622686*^-8*I,-4.715823910192429*^-9-2.0236497697677437*^-8*I,-9.693237289221113*^-9+3.1820910890107844*^-8*I,7.598444415335415*^-9-8.619232407069773*^-8*I,2.0652650478680812*^-8-3.6829832599858*^-8*I,-1.623009453222135*^-8+2.3080974843443667*^-8*I,-1.1947140846069182*^-8+1.240104664397815*^-7*I,-2.4501041821309177*^-8-1.484388914553956*^-7*I,-1.1912472161479393*^-8+2.271158921794678*^-7*I,3.0285049378020457*^-8-2.1846660027569334*^-7*I,9.343909441322795*^-9+3.220732418747851*^-9*I,1.4856825962181186*^-8+1.2169065871816372*^-7*I,4.28003970112667*^-9-3.862299741070705*^-8*I,-1.894684229300503*^-8-1.4083690494888356*^-8*I,-5.2899588494359495*^-9+3.862254188758327*^-8*I,1.73752698895413*^-8-8.031247007572933*^-8*I,2.0915168043658672*^-8-1.1599416306016965*^-8*I,2.434553542964013*^-8+1.306595696466443*^-7*I,-3.354592281040736*^-8-1.1692909887860235*^-7*I,-9.680854132221306*^-9+2.9717309969540904*^-8*I
-2.1180450018865038*^-8-3.41908274720488*^-8*I,-3.257235595827135*^-8+6.852127623967271*^-7*I,2.279729609429293*^-8-1.427529053310689*^-7*I,3.603201498975084*^-8+1.2253321162454265*^-6*I,6.613357102919215*^-8-9.1303946051507*^-9*I,9.964670994594416*^-9+7.83654672771565*^-7*I,1.0000001080961067+3.937343702859053*^-8*I,-1.4054318472900285*^-8-9.344904250214928*^-8*I,1.0000000976814272-3.9373439743559054*^-8*I,1.1628430393942346*^-8-1.0998107578897249*^-6*I,6.10928802477484e-8,3.241691366728805*^-8-2.1523500998366863*^-6*I,-4.920946754382744*^-9+2.5512057339192144*^-7*I,-2.5911242526599487*^-8-2.1070711615830217*^-6*I,-1.4534246868536105*^-8+1.3181660701411975*^-7*I,-1.5293496169119236*^-8-1.614313986533322*^-6*I,6.012101410463044*^-9-3.732266157321637*^-8*I,6.970696179997571*^-9-1.2418870413485054*^-6*I,-2.5235923250405135*^-8+3.238264030300797*^-8*I,-4.286540587761234*^-9-6.549183542382897*^-7*I,-6.556126683210373*^-9-2.268851895110234*^-8*I,2.817901152002422*^-9-2.989919592831868*^-7*I,-9.261560249620993*^-9+1.578809140490003*^-8*I,-1.797595169938937*^-9-7.264497617322117*^-8*I,0.-1.1478982010853214*^-8*I,2.6469423921805763*^-8+1.6057182221596931*^-9*I,1.1450356635078762*^-9-1.1478511088815757*^-8*I,-1.7975624114208166*^-9+2.180151632332796*^-9*I,-4.281798571953432*^-9+1.5789474718163537*^-8*I,2.81798463383498*^-9-4.213392475294918*^-8*I,5.02572193583628*^-9-2.2686413646518892*^-8*I,-4.2864267482678464*^-9-2.3138636665416096*^-8*I,-8.933478391065508*^-9+3.2385042657311313*^-8*I,6.970793497984573*^-9-9.140983927572395*^-8*I,1.9471701098727756*^-8-3.732040399187101*^-8*I,-1.5293447000117033*^-8+2.2281338353002243*^-8*I,-1.0133079979268711*^-8+1.3181845760542399*^-7*I,-2.591127253731562*^-8-1.5912304219341006*^-7*I,-1.470673167149294*^-8+2.551218867162588*^-7*I,3.2416798217971277*^-8-2.4740833683913983*^-7*I,1.3383694430491033e-8,1.1628260463900086*^-8+1.388904695836757*^-7*I,-2.4312853848240668*^-9-3.937311311673187*^-8*I,-1.4054515058703476*^-8-1.8153979842449276*^-8*I,4.279972747739391*^-9+3.937335188719012*^-8*I,9.964488321273501*^-9-8.946630417251453*^-8*I,6.485454256965895*^-9-9.130794590452915*^-9*I,3.603187409551012*^-8+1.5729045190029295*^-7*I,-4.380980245244359*^-9-1.4275331928873553*^-7*I,-3.257243050280856*^-8+3.433697425155289*^-8*I,-3.078609978751645*^-8-3.419099221375649*^-8*I
-2.289151664752742*^-8+3.216736231130258*^-7*I,1.046985268274292*^-8-4.104359017247977*^-8*I,-2.088596157221595*^-8+1.0049189685602525*^-6*I,2.7450522931127264*^-9-1.6776381815668314*^-7*I,2.8621280321466935*^-8+1.4824391591658038*^-6*I,6.860217750467856*^-8-1.2003185917971231*^-8*I,1.4857039378271542*^-8+8.960256264683025*^-7*I,1.0000000976814367+4.7405677193236664*^-8*I,-1.728293723413099*^-8-9.214360773444701*^-8*I,1.0000001006390573-4.740567857656296*^-8*I,1.3760095941145467*^-8-1.2083179809168676*^-6*I,5.817383140482857*^-8+3.402998104372548*^-9*I,3.1006603619636626*^-8-2.351348831654074*^-6*I,-3.085091990900901*^-9+2.777987767255152*^-7*I,-2.497470603587959*^-8-2.2907139996789465*^-6*I,-1.5706150826091947*^-8+1.4385817928441075*^-7*I,-1.5921210475000613*^-8-1.744806893575377*^-6*I,6.7716528842631796*^-9-4.1096852582471695*^-8*I,7.4001438726822855*^-9-1.3361100619985711*^-6*I,-2.571584606370081*^-8+3.546669653623392*^-8*I,-4.592792694768644*^-9-6.993548825928773*^-7*I,-6.312953722276138*^-9-2.4858388657539535*^-8*I,3.0543885216199884*^-9-3.1488464189423595*^-7*I,-9.19281544289885*^-9+1.7397854310920455*^-8*I,-3.299928070382707*^-9-6.129648149599457*^-8*I,2.9311702845438913*^-8+2.4737276388773167*^-9*I,-3.29992137435009*^-9+1.657328729724498*^-9*I,-4.339681350384872*^-9+1.7398739967542735*^-8*I,3.0544144357866343*^-9-4.5221603751101876*^-8*I,5.29024456186189*^-9-2.4856706772632813*^-8*I,-4.592724787283453*^-9-2.4313455723389235*^-8*I,-9.404117659941869*^-9+3.5468879671391913*^-8*I,7.400229028522998*^-9-9.899725128652648*^-8*I,2.023146119384256*^-8-4.109459382998941*^-8*I,-1.5921157229398242*^-8+2.466148679877177*^-8*I,-1.131395789034928*^-8+1.438602619800141*^-7*I,-2.4974695159163396*^-8-1.7381389384235574*^-7*I,-1.2892611141873678*^-8+2.7780052289979066*^-7*I,3.100653692245985*^-8-2.711094476460634*^-7*I,1.0589439748687202*^-8+3.4042644369175507*^-9*I,1.3759949075986544*^-8+1.5056650574311625*^-7*I,1.6085839691509785*^-9-4.7404892206671624*^-8*I,-1.7283122537292694*^-8-1.5743921541801127*^-8*I,-2.4313612338733304*^-9+4.740599707677426*^-8*I,1.4856854654507479*^-8-1.0500625299672831*^-7*I,1.6055328901434796*^-8-1.200329767435671*^-8*I,2.8621127783762246*^-8+1.871590952336113*^-7*I,-1.8810699296822886*^-8-1.677641764169799*^-7*I,-2.0886069855390044*^-8+5.3181300466039534*^-8*I,-1.6211909870111896*^-9-4.10439034417311*^-8*I,-2.2891556480247877*^-8-1.73581064577801*^-8*I
3.2010763531195585*^-8+1.0500991509800044*^-8*I,-1.120507049298669*^-8+6.384240800809296*^-7*I,-8.817605925363209*^-9-5.50532086226127*^-8*I,-2.829667600755259*^-8+1.2699548881089288*^-6*I,5.5706190840720815*^-9-1.9241016783058943*^-7*I,3.351369673356558*^-8+1.7053761023226947*^-6*I,5.814002758831177*^-8-1.1359806378476841*^-8*I,1.1628461311918858*^-8+1.0052193116798354*^-6*I,1.0000001006390693+5.064047002419244*^-8*I,-1.5151314518985215*^-8-9.41402407347225*^-8*I,1.000000097720355-5.064047175780751*^-8*I,1.2349716218412743*^-8-1.311870594434474*^-6*I,6.001017257276166*^-8+2.4710729231149306*^-9*I,3.194310906062814*^-8-2.553262431484033*^-6*I,-4.2577024388784634*^-9+3.0399027946440425*^-7*I,-2.5602500802572592*^-8-2.4715214790230347*^-6*I,-1.4950332389608578*^-8+1.530994221095931*^-7*I,-1.5491822326699212*^-8-1.8772137316251592*^-6*I,6.288900427330046*^-9-4.268147842792255*^-8*I,7.093903140256708*^-9-1.427879751234123*^-6*I,-2.5473185949476118*^-8+3.6834197106372565*^-8*I,-4.3556799434602*^-9-7.415847926236813*^-7*I,-6.291856498048115*^-9-2.5624420221685334*^-8*I,2.825788951790753*^-9-3.164903449837264*^-7*I,-8.085071941804634*^-9+1.806461147810042*^-8*I,-4.45819111509643*^-9-1.9853166629395306*^-9*I,-4.3224523474383325*^-9+1.8065026550654714*^-8*I,2.825787869323304*^-9-4.764509218562638*^-8*I,5.184931421275268*^-9-2.5623236283046157*^-8*I,-4.3556706626896036*^-9-2.655817466012603*^-8*I,-9.13989348268196*^-9+3.683595801501145*^-8*I,7.093942732717962*^-9-1.0504938123332883*^-7*I,1.9760809769758803*^-8-4.267943562254002*^-8*I,-1.549178175672128*^-8+2.498063094978088*^-8*I,-1.0554125749566434*^-8+1.531015079720271*^-7*I,-2.560248421861616*^-8-1.8581385307169776*^-7*I,-1.4073426236882458*^-8+3.0399225794893026*^-7*I,3.194308696198578*^-8-2.9809213244869114*^-7*I,1.2403563595660549*^-8+2.4727727390205914*^-9*I,1.234961900450915*^-8+1.662644573400612*^-7*I,-1.1855780732150656*^-9-5.063919300853422*^-8*I,-1.515147637128761*^-8-1.7450080460552794*^-8*I,1.6084975617072783*^-9+5.064125144782582*^-8*I,1.1628288172638168*^-8-1.1738594721268959*^-7*I,9.343930372496256*^-9-1.1359513481157214*^-8*I,3.351354222001085*^-8+2.1414945694254047*^-7*I,-9.240826527590063*^-9-1.924102409556148*^-7*I,-2.8296795704339794*^-8+6.96563998286261*^-8*I,-1.605094513985189*^-8-5.505346640678156*^-8*I,-1.1205143942913387*^-8-7.899717283146138*^-9*I,2.9164880255630465*^-8+1.0500843046716248*^-8*I
