form,rtol,a,omega,phi,N,hopping,onsite,next onsite,NNN,NNN overtop
SS-p,1.0000000000000001e-11,35.0,3.7,0.4487989505128276,51,(-0.11132428646124738+0.1476583894410698j),(0.045139882536371606-2.3058938663079612e-10j),(-0.020990738020361256-2.0500961127222164e-11j),(0.027104370099140875-0.041945355269576344j),(-0.020990738020172057-1.5963011386867373e-11j)
SS-p,1.0000000000000001e-11,35.0,3.8,0.4487989505128276,51,(-0.10465972728062493+0.10387769475508679j),(0.04560486808881334-2.51191438783323e-10j),(-0.020353932262603652-2.1857215312846985e-11j),(0.04529125611812255-0.06115140005797369j),(-0.020353932288961075+4.727374301210952e-10j)
SS-p,1.0000000000000001e-11,35.0,3.9,0.4487989505128276,51,(-0.07956758742580877+0.05741137035870574j),(0.03343102027776585-2.8149838797726777e-10j),(-0.011841332086736146-2.2832407551658267e-11j),(0.05910046792093946-0.07018690828165479j),(-0.011841332087840804-2.011982080340109e-11j)
SS-p,1.0000000000000001e-11,35.0,4.0,0.4487989505128276,51,(-0.04139052610093379+0.015910626064944606j),(0.01436044970548671-3.1591581204581197e-10j),(0.0003276002307191576-2.3315978759200174e-11j),(0.06658831871793951-0.07066801011113112j),(0.0003276002307515939-1.9245322103672917e-11j)
SS-p,1.0000000000000001e-11,35.0,4.1,0.4487989505128276,51,(0.004698473000157769-0.017192122902011695j),(-0.005962246693990579-3.4334983106109315e-10j),(0.01275421087525697-2.2742352372639112e-11j),(0.06891321179651021-0.06658737117331806j),(0.012754210875239617-1.7757180290974044e-11j)
SS-p,1.0000000000000001e-11,35.0,4.2,0.4487989505128276,51,(0.054884557962181425-0.04089266693517412j),(-0.02344407859902729-3.5053757156587166e-10j),(0.023155001627574945-2.1026497068568508e-11j),(0.06739999520019792-0.06069529701895942j),(0.023155001627872086-1.6874866970404764e-11j)
SS-p,1.0000000000000001e-11,35.0,4.3,0.4487989505128276,51,(0.10605527354714663-0.055026641414171434j),(-0.03534879061892526-3.3496849104385435e-10j),(0.029996107735243135-1.886567331028932e-11j),(0.06224463537152536-0.05401058858518196j),(0.029996107735125607-1.639547206686269e-11j)
SS-p,1.0000000000000001e-11,35.0,4.4,0.4487989505128276,51,(0.15529052534868995-0.05999193911460588j),(-0.04016147106929691-3.043738916790023e-10j),(0.03251453457286724-1.6911499146068977e-11j),(0.053807689358639096-0.04732881649457043j),(0.03251453457262017-1.1499601265536106e-11j)
SS-p,1.0000000000000001e-11,35.0,4.5,0.4487989505128276,51,(0.19995761727540254-0.05669023022418136j),(-0.03754898252880181-2.7010373015835985e-10j),(0.030642253216079402-1.5682454194765526e-11j),(0.04261790566236503-0.041261837023040496j),(0.0306422532160301-1.0917050391102572e-11j)
SS-p,1.0000000000000001e-11,35.0,4.6,0.4487989505128276,51,(0.2378725461896414-0.04646471479536285j),(-0.028213656388392103-2.3979322466838133e-10j),(0.024891697854984112-1.5182594715512178e-11j),(0.029348277993701738-0.036249585860161374j),(0.02489169785496214-1.0332936158144257e-11j)
