"form","rtol","a","omega","phi","N","hopping","onsite","next onsite","NNN","NNN overtop"
"SS-m","",35.,4.,0.,51,"(-0.04283630282731991+1.0786772788395396e-06j)","(-0.024920838237175207+3.788940790748023e-07j)","(0.004063226171508658-1.0171892383257926e-08j)","(0.1475341637872495+3.77044402498359e-07j)","(0.004063226171646138+1.0094917816767119e-08j)"
"SS-m","",35.,4.,0.4487989505128276,51,"(0.04139082396568634+0.015910137224012966j)","(-0.014359603349087417+7.720802103295463e-07j)","(-0.0003273564761020094-4.41065469567349e-09j)","(-0.066585888272334-0.07066681841313233j)","(-0.00032735647608964774+1.1282227676730509e-08j)"
"SS-m","",35.,4.,0.5235987755982988,51,"(0.027971670652695717+0.035413584372577495j)","(-0.016328482816954405+3.1779744590291753e-07j)","(0.0007406166005951148-3.486767044906261e-08j)","(-0.012701526231292115-0.11209861116535491j)","(0.000740616600570114-1.607152682888421e-08j)"
"SS-m","",35.,4.,0.6283185307179586,51,"(-0.001667051360962408+0.04631183746580027j)","(-0.020794987902285546+7.404862299124084e-07j)","(0.003106499225948939+3.3723660830294315e-09j)","(0.07637953678267492-0.11225250416589028j)","(0.0031064992259195283+1.9879508385902872e-08j)"
"SS-m","",35.,4.,0.7853981633974483,51,"(-0.04006616201356951+0.0264380779084174j)","(-0.026966426900225132+1.2399605028146903e-06j)","(0.006637614197514505+2.7154417014229333e-08j)","(0.15092317504746006-0.023849302773823706j)","(0.006637614197641285+4.644627020174061e-08j)"
"SS-m","",35.,4.,1.0471975511965976,51,"(-0.03964733924007885-0.03190472021884863j)","(-0.025853117088627642+1.9510895962884895e-07j)","(0.00781748495780583-3.493188865093759e-08j)","(0.08641010652780132+0.09275106971427108j)","(0.007817484957668083-1.5853081841315358e-08j)"
"SS-m","",35.,4.,1.5707963267948966,51,"(0.007246232588948288-0.05317418120706339j)","(-2.0286947295435347e-06-2.5132566651164805e-08j)","(3.207638093125076e-07-3.454665963292437e-08j)","(1.929750176356386e-06-2.5934622745097626e-06j)","(3.2076402425862405e-07-1.3063031611295212e-08j)"
"SS-m","",35.,4.1,0.,51,"(0.010102795281387193+1.179060364855635e-06j)","(0.006858987643270821+7.350514108928056e-07j)","(-0.01431926328573905+1.9434515995500928e-08j)","(0.1471017277460081+3.3702143992166996e-07j)","(-0.014319263285715787+4.1077262011011146e-08j)"
"SS-m","",35.,4.1,0.4487989505128276,51,"(-0.004697148374158335-0.01719293032841039j)","(0.005962050289034629+9.662953256454965e-07j)","(-0.012753820312087025+1.0907821976443223e-08j)","(-0.06891053573585615-0.06658657192024046j)","(-0.012753820312169418+3.0218319647663764e-08j)"
"SS-m","",35.,4.1,0.5235987755982988,51,"(0.006913784586494006-0.016826563680187985j)","(0.007248032438548126+4.9482017507844e-07j)","(-0.013228273082328722-1.526536637218786e-08j)","(-0.01750299074374005-0.10971639216146369j)","(-0.013228273082337868+2.9939308089604134e-09j)"
"SS-m","",35.,4.1,0.6283185307179586,51,"(0.018832653097639946-0.005068783684603362j)","(0.008458339313525735+9.381381062709627e-07j)","(-0.01356632316344164+7.561186558907969e-09j)","(0.07044276761840561-0.11411808304067544j)","(-0.013566323163440235+2.5103921321567772e-08j)"
"SS-m","",35.,4.1,0.7853981633974483,51,"(0.014113707898992222+0.020008987469099987j)","(0.0072575343347403695+1.3425023285457993e-06j)","(-0.01229063372243393+2.5279104002985812e-08j)","(0.148997538430639-0.030706991086653847j)","(-0.012290633722349065+4.3747416621007064e-08j)"
"SS-m","",35.,4.1,1.0471975511965976,51,"(-0.025007077025912892+0.024320849430938922j)","(0.00036528569047235607+2.992271970287032e-07j)","(-0.006629799747356561-1.667928901863405e-08j)","(0.09194613687260009+0.08899580199088108j)","(-0.006629799747262931+1.6531472799811205e-09j)"
"SS-m","",35.,4.1,1.5707963267948966,51,"(-0.0411231275041629-0.013769408411132287j)","(-1.9106966971704276e-06-5.920239259630536e-08j)","(1.4297822804876237e-07-3.194890292458752e-08j)","(2.6009346978259345e-06-1.452721055113869e-06j)","(1.4297812897176576e-07-1.0632442274167852e-08j)"
"SS-m","",35.,4.199999999999998,0.,51,"(0.06189642720068152+1.5544316439585739e-06j)","(0.03624349941091102+5.320509667527049e-07j)","(-0.030824992333354645-1.4021305122273943e-09j)","(0.14237487618194175+1.5122031674784943e-06j)","(-0.030824992333014868+2.033120421925553e-08j)"
"SS-m","",35.,4.199999999999998,0.4487989505128276,51,"(-0.05488287768710747-0.04089289072445706j)","(0.023444496792871763+4.5937828865500847e-07j)","(-0.02315463599139437-2.230514276214098e-09j)","(-0.0673970194231351-0.0606961568581005j)","(-0.023154635991385297+1.6503064057822955e-08j)"
"SS-m","",35.,4.199999999999998,0.5235987755982988,51,"(-0.02399895745319695-0.0627285040535023j)","(0.027246893870697904+2.9327361129029646e-07j)","(-0.02482078348897796-5.2415340134742215e-09j)","(-0.01998586801224561-0.1038595662071571j)","(-0.024820783488324588+1.3348472005746354e-08j)"
"SS-m","",35.,4.199999999999998,0.6283185307179586,51,"(0.025859559553680307-0.059298503916121584j)","(0.033658449881773786+1.0109238658646154e-06j)","(-0.027654699355496505+3.938722901124574e-08j)","(0.06398236495503398-0.11199044770187733j)","(-0.027654699355756013+5.7231143055834096e-08j)"
"SS-m","",35.,4.199999999999998,0.7853981633974483,51,"(0.06300884430664197-0.0024260808460276994j)","(0.03870268150255083+1.1134146216133126e-06j)","(-0.02933078753051045+1.761053878789662e-08j)","(0.14379146668198603-0.03593652323826284j)","(-0.029330787530350212+3.556018306897881e-08j)"
"SS-m","",35.,4.199999999999998,1.0471975511965976,51,"(0.007723362224390552+0.07002840846689898j)","(0.02818053399547535+7.22125461167328e-07j)","(-0.021519914882406243-1.5094478455779644e-08j)","(0.09571925630545211+0.0831688278837317j)","(-0.02151991488201542+4.1557336533212174e-09j)"
