form,rtol,N,a,omega,phi,G
StepFunc,1e-11,51,20,3.1,0,"[[-0.00259851-3.98421254e-11j -0.38583672+1.20986936e-11j
  -0.00364372-1.09047818e-11j ... -0.01525671-2.24966660e-09j
  -0.01416119-4.59265528e-10j -0.01051701-4.14493861e-10j]
 [-0.38583672-1.33407992e-11j  0.00624363-4.97930348e-11j
   0.28890737+5.47341551e-11j ... -0.02196681+9.04685677e-10j
   0.02527761-2.71522128e-09j -0.01416119+4.06899672e-10j]
 [-0.00364372-8.87276311e-12j  0.28890737-5.06390676e-11j
  -0.00511605-5.05020130e-11j ... -0.02075847-6.31843620e-09j
  -0.02196681-3.14033303e-10j -0.01422254-2.35388015e-09j]
 ...
 [-0.01525671+2.25096560e-09j -0.02196681-8.74280878e-10j
  -0.02075847+6.21724304e-09j ... -0.00733976-2.34383597e-10j
   0.20446648+5.42969348e-10j -0.00522695+4.55431846e-11j]
 [-0.01416119+4.40737784e-10j  0.02527761+2.61236579e-09j
  -0.02196681+2.96527901e-10j ...  0.20446648-5.42570576e-10j
   0.0089568 -2.33999336e-10j -0.44063368-3.95276651e-10j]
 [-0.01051701+3.11274576e-10j -0.01416119-3.90369819e-10j
  -0.01422254+2.35503636e-09j ... -0.00522695-6.67306073e-11j
  -0.44063368+3.98687276e-10j -0.00372766-2.23432706e-10j]]"
StepFunc,1e-11,51,20,3.2,0,"[[-7.23887587e-04-3.93617321e-11j -3.66659259e-01+2.07492793e-09j
  -1.12846831e-03+3.62986540e-12j ... -1.13618542e-02-2.29725954e-09j
  -1.31467658e-02+2.13971527e-09j -7.07416818e-03-6.16238963e-10j]
 [-3.66659259e-01-2.07494094e-09j  1.85394852e-03-5.55616816e-11j
   3.29725886e-01-3.08147498e-09j ... -2.02933847e-02-3.75514942e-09j
   1.81203207e-02-2.88345682e-09j -1.31467658e-02-1.43109224e-09j]
 [-1.12846831e-03-3.63263409e-11j  3.29725886e-01+3.08161462e-09j
  -1.76732648e-03-5.11705151e-11j ... -1.72901769e-02-5.99873283e-09j
  -2.02933847e-02+1.56934192e-09j -1.06886498e-02-2.35623563e-09j]
 ...
 [-1.13618542e-02+2.30337400e-09j -2.02933847e-02+3.70915774e-09j
  -1.72901769e-02+5.91558905e-09j ...  6.41975472e-04-2.30676680e-10j
   2.41607470e-01-1.63024449e-09j  4.12409187e-04-4.73858583e-12j]
 [-1.31467658e-02-2.10990032e-09j  1.81203207e-02+2.80043129e-09j
  -2.02933847e-02-1.52805541e-09j ...  2.41607470e-01+1.63436804e-09j
  -6.76353915e-04-2.34853832e-10j -4.23782446e-01+1.06105154e-09j]
 [-7.07416818e-03+5.26365996e-10j -1.31467658e-02+1.40375293e-09j
  -1.06886498e-02+2.36244050e-09j ...  4.12409187e-04-7.63737234e-12j
  -4.23782446e-01-1.06028432e-09j  2.64262916e-04-2.27964965e-10j]]"
StepFunc,1e-11,51,20,3.3,0,"[[ 2.60065933e-02-3.23810134e-11j -5.94770611e-01-6.24725352e-10j
   4.47955690e-02-7.91935111e-12j ... -2.84365893e-03-1.86038859e-09j
   4.53796180e-02-6.71282310e-11j -9.47933117e-04-4.27632852e-10j]
 [-5.94770611e-01+6.24522133e-10j -7.08037383e-02-5.58937412e-11j
  -5.14185582e-02+1.00743833e-09j ...  7.93608491e-02-4.75624061e-12j
   2.59203106e-03-2.29345829e-09j  4.53796180e-02+5.52288170e-10j]
 [ 4.47955690e-02-3.88563721e-11j -5.14185582e-02-1.00806206e-09j
   7.71675898e-02-6.32948659e-11j ... -2.89659494e-03-5.25562042e-09j
   7.93608491e-02-1.10064143e-09j -3.99403892e-04-1.92502295e-09j]
 ...
 [-2.84365893e-03+1.86977309e-09j  7.93608491e-02+1.22310220e-12j
  -2.89659494e-03+5.19069393e-09j ... -2.56714218e-02-2.28301140e-10j
   2.59897928e-01-1.89790582e-10j -1.48984769e-02+4.51632004e-11j]
 [ 4.53796180e-02+6.94757319e-11j  2.59203106e-03+2.22856503e-09j
   7.93608491e-02+1.10305769e-09j ...  2.59897928e-01+1.92588929e-10j
   2.35502855e-02-2.26515377e-10j -4.17627484e-01+1.36234697e-10j]
 [-9.47933117e-04+3.53631990e-10j  4.53796180e-02-5.53179157e-10j
  -3.99403892e-04+1.93444852e-09j ... -1.48984769e-02-4.12700275e-11j
  -4.17627484e-01-1.34882618e-10j -8.64989028e-03-2.28701260e-10j]]"
StepFunc,1e-11,51,20,3.4,0,"[[-7.21826080e-04-2.08905721e-11j -6.00311189e-01+2.38398819e-10j
  -1.36391343e-03-1.18836629e-11j ... -1.57578201e-02-1.47995089e-09j
  -4.84433511e-03+1.40985148e-09j -8.17087579e-03-3.57459016e-10j]
 [-6.00311189e-01-2.38364880e-10j  2.08641517e-03-3.76143056e-11j
  -5.35918230e-02-4.48042452e-10j ... -9.62137394e-03-1.89821217e-09j
   2.36225773e-02-1.81924225e-09j -4.84433511e-03-1.82759130e-09j]
 [-1.36391343e-03-2.16860619e-11j -5.35918230e-02+4.47932654e-10j
  -2.58106386e-03-4.79810040e-11j ... -2.92552821e-02-4.32889534e-09j
  -9.62137394e-03+4.14515340e-09j -1.51105973e-02-1.57673304e-09j]
 ...
 [-1.57578201e-02+1.48406552e-09j -9.62137394e-03+1.90730922e-09j
  -2.92552821e-02+4.27496586e-09j ... -1.95627305e-03-2.41243365e-10j
  -1.30396575e-01-3.51077851e-09j -1.03366844e-03+3.68852898e-11j]
 [-4.84433511e-03-1.41451709e-09j  2.36225773e-02+1.76389917e-09j
  -9.62137394e-03-4.15681721e-09j ... -1.30396575e-01+3.51549782e-09j
   1.58127325e-03-2.40567509e-10j -6.39116810e-01+1.88414278e-09j]
 [-8.17087579e-03+2.98148709e-10j -4.84433511e-03+1.83370946e-09j
  -1.51105973e-02+1.58083515e-09j ... -1.03366844e-03-4.11008474e-11j
  -6.39116810e-01-1.88298835e-09j -5.47058914e-04-2.38159666e-10j]]"
StepFunc,1e-11,51,20,3.5,0,"[[ 0.00083393-1.33927334e-11j -0.59153949-5.46451804e-10j
   0.00171955-4.62712560e-12j ... -0.01854385-1.20856569e-09j
  -0.00303771+1.73862359e-10j -0.00885606-3.11676965e-10j]
 [-0.59153949+5.46457319e-10j -0.00255434-2.44333499e-11j
  -0.03156919+1.09932965e-09j ... -0.00599808-2.56940562e-10j
   0.02712868-1.53819020e-09j -0.00303771-1.15490710e-10j]
 [ 0.00171955-1.75025622e-11j -0.03156919-1.09933272e-09j
   0.00355097-3.00912293e-11j ... -0.03772965-3.76759617e-09j
  -0.00599808+3.63554494e-10j -0.01797343-1.26048705e-09j]
 ...
 [-0.01854385+1.20828868e-09j -0.00599808+2.33483201e-10j
  -0.03772965+3.72851885e-09j ...  0.00281284-2.58871464e-10j
  -0.11061367-1.25999715e-09j  0.00136202+1.78930356e-11j]
 [-0.00303771-1.62626924e-10j  0.02712868+1.49839133e-09j
  -0.00599808-3.43498776e-10j ... -0.11061367+1.26353945e-09j
  -0.00202329-2.60488162e-10j -0.63137298+6.28563532e-10j]
 [-0.00885606+2.71660146e-10j -0.00303771+1.05620670e-10j
  -0.01797343+1.26025555e-09j ...  0.00136202-3.94232549e-11j
  -0.63137298-6.26316507e-10j  0.00066055-2.49704893e-10j]]"
StepFunc,1e-11,51,20,3.6,0,"[[ 3.53214899e-04-1.13191491e-11j -7.87842333e-01-3.63642610e-10j
   7.90736968e-04-1.42835092e-11j ... -1.91249986e-02-4.44732473e-10j
  -1.24700119e-03-2.35156993e-10j -8.43092186e-03-1.57032349e-10j]
 [-7.87842333e-01+3.63510309e-10j -1.14488070e-03-2.38189565e-11j
  -4.47188494e-01+8.03473544e-10j ... -2.91285710e-03+8.84043393e-10j
   2.73210864e-02-5.90951188e-10j -1.24700119e-03+1.17655558e-10j]
 [ 7.90736968e-04-1.07429192e-11j -4.47188494e-01-8.03545039e-10j
   1.77623153e-03-3.11788227e-11j ... -4.23445627e-02-1.53285558e-09j
  -2.91285709e-03+1.51659238e-10j -1.86357315e-02-4.85816532e-10j]
 ...
 [-1.91249986e-02+4.43436932e-10j -2.91285710e-03-8.73599187e-10j
  -4.23445627e-02+1.51560058e-09j ...  4.57374432e-03-2.59673837e-10j
  -4.98132475e-01-5.81374490e-10j  2.03947955e-03+2.54406785e-11j]
 [-1.24700119e-03+2.30109644e-10j  2.73210864e-02+5.73289177e-10j
  -2.91285709e-03-1.67132242e-10j ... -4.98132475e-01+5.84501024e-10j
  -2.95117290e-03-2.62378010e-10j -8.09391906e-01+2.62325280e-10j]
 [-8.43092186e-03+1.40843277e-10j -1.24700119e-03-1.11147713e-10j
  -1.86357315e-02+4.84566892e-10j ...  2.03947955e-03-4.49601257e-11j
  -8.09391906e-01-2.59827911e-10j  9.10703004e-04-2.52628697e-10j]]"
StepFunc,1e-11,51,20,3.7,0,"[[ 9.39151976e-04-9.17172481e-12j -7.85272528e-01+5.54808127e-11j
   2.27460145e-03-1.64977185e-11j ... -1.09496980e-02+8.67911712e-11j
   3.01621788e-04+2.56281725e-10j -4.48199700e-03-1.12630407e-10j]
 [-7.85272528e-01-5.57320014e-11j -3.21474184e-03-1.79211479e-11j
  -4.39419724e-01-1.32970519e-10j ...  7.37560820e-04-5.24522477e-10j
   1.53421853e-02-2.50111890e-11j  3.01621791e-04-1.86525504e-10j]
 [ 2.27460145e-03-9.84058255e-13j -4.39419724e-01+1.33269995e-10j
   5.51579216e-03-2.44116978e-11j ... -2.63251984e-02+2.44626353e-10j
   7.37560812e-04+5.49910631e-10j -1.07604755e-02+1.00819662e-10j]
 ...
 [-1.09496980e-02-8.91017171e-11j  7.37560820e-04+5.07690485e-10j
  -2.63251984e-02-2.39233107e-10j ...  3.43691155e-03-2.66510071e-10j
  -4.91202960e-01-8.46614770e-11j  1.41696481e-03+1.91350075e-11j]
 [ 3.01621788e-04-2.49413995e-10j  1.53421853e-02+3.10818320e-11j
   7.37560812e-04-5.33665825e-10j ... -4.91202960e-01+8.75304446e-11j
  -2.00280678e-03-2.67867340e-10j -8.07101029e-01+3.71192992e-11j]
 [-4.48199700e-03+1.20716595e-10j  3.01621791e-04+1.79715393e-10j
  -1.07604755e-02-1.03124638e-10j ...  1.41696481e-03-4.44278183e-11j
  -8.07101029e-01-3.41965865e-11j  5.85076404e-04-2.55184525e-10j]]"
StepFunc,1e-11,51,20,3.8,0,"[[ 5.15840921e-04-1.07529316e-11j -9.16895785e-01-3.48329988e-11j
   1.34607977e-03-1.87615814e-11j ... -6.04416837e-03-2.32094372e-10j
   1.64599924e-04-6.21810221e-11j -2.30162537e-03-4.12093360e-10j]
 [-9.16895785e-01+3.45777701e-11j -1.86245072e-03-1.80115220e-11j
  -7.66991783e-01+9.09231139e-11j ...  4.55285998e-04+3.57731794e-10j
   8.30993700e-03-6.24335548e-10j  1.64599922e-04+1.09436180e-10j]
 [ 1.34607977e-03+4.22651669e-12j -7.66991783e-01-9.06652184e-11j
   3.51640422e-03-2.40667231e-11j ... -1.56887679e-02-1.21375494e-10j
   4.55286002e-04-9.43056756e-11j -5.96817641e-03-1.78569850e-10j]
 ...
 [-6.04416837e-03+2.29656074e-10j  4.55285998e-04-3.49911916e-10j
  -1.56887679e-02+1.49661531e-10j ...  4.25822642e-03-2.67077014e-10j
  -7.90310511e-01+3.97374179e-12j  1.63035529e-03+2.39109264e-11j]
 [ 1.64599924e-04+5.89556562e-11j  8.30993700e-03+6.53610947e-10j
   4.55286002e-04+8.63967091e-11j ... -7.90310511e-01-1.27542551e-12j
  -2.25561656e-03-2.67420308e-10j -9.25583807e-01+7.31661858e-13j]
 [-2.30162537e-03+4.43928186e-10j  1.64599922e-04-1.06634239e-10j
  -5.96817641e-03+1.76130208e-10j ...  1.63035529e-03-5.03493186e-11j
  -9.25583807e-01+2.28315704e-12j  6.24754308e-04-2.54220833e-10j]]"
StepFunc,1e-11,51,20,3.9,0,"[[ 6.49404209e-04-1.45214462e-11j -9.81835431e-01-6.61819606e-12j
   1.81985320e-03-1.36135299e-11j ... -7.08504583e-03-1.11013009e-09j
  -3.05181882e-04+2.57011431e-11j -2.52049157e-03-8.97739095e-10j]
 [-9.81835431e-01+6.39263981e-12j -2.46946153e-03-2.06450939e-11j
  -9.46654843e-01+1.88364897e-11j ... -8.48682050e-04+1.38565956e-10j
   9.58449046e-03-1.96460273e-09j -3.05181882e-04+4.22807583e-11j]
 [ 1.81985320e-03+1.35956784e-12j -9.46654843e-01-1.85296269e-11j
   5.10140539e-03-2.58725497e-11j ... -1.97990456e-02-2.03492313e-09j
  -8.48682048e-04+8.99073764e-11j -7.04166609e-03-1.01011373e-09j]
 ...
 [-7.08504583e-03+1.10751971e-09j -8.48682050e-04-1.36074008e-10j
  -1.97990456e-02+2.08337245e-09j ...  9.65005614e-03-2.65939767e-10j
  -9.52028561e-01+3.13071025e-11j  3.44292911e-03+3.19412176e-11j]
 [-3.05181882e-04-2.70073850e-11j  9.58449046e-03+2.01529418e-09j
  -8.48682048e-04-9.28054750e-11j ... -9.52028561e-01-2.87581576e-11j
  -4.67168670e-03-2.65048754e-10j -9.83687235e-01-8.97122020e-12j]
 [-2.52049157e-03+9.51084201e-10j -3.05181882e-04-4.16634116e-11j
  -7.04166609e-03+1.00750328e-09j ...  3.44292911e-03-5.92430406e-11j
  -9.83687235e-01+1.19592031e-11j  1.22855651e-03-2.51414603e-10j]]"
StepFunc,1e-11,51,20,4.0,0,"[[ 7.91515838e-06-1.99340650e-11j -9.99999730e-01+2.76095772e-12j
   2.37419951e-05-2.99826652e-12j ... -6.05139657e-05-2.97379483e-09j
  -1.52053996e-07+4.40626841e-11j -2.01312486e-05-1.69172882e-09j]
 [-9.99999730e-01-2.94150759e-12j -3.16640176e-05-2.56850812e-11j
  -9.99999175e-01-8.09771895e-12j ... -4.65480970e-07+1.40762738e-10j
   8.05331841e-05-4.59495967e-09j -1.52053996e-07+4.35488507e-11j]
 [ 2.37419951e-05-8.50380229e-12j -9.99999175e-01+8.38120631e-12j
   7.12709967e-05-3.06365908e-11j ... -1.81265710e-04-6.93393231e-09j
  -4.65480972e-07+1.39801942e-10j -6.02564521e-05-2.83252999e-09j]
 ...
 [-6.05139657e-05+2.97219992e-09j -4.65480970e-07-1.41027156e-10j
  -1.81265710e-04+7.00263628e-09j ...  6.13780170e-05-2.61810015e-10j
  -9.99999380e-01-4.63098023e-12j  2.04481694e-05+4.38426429e-11j]
 [-1.52053996e-07-4.45116960e-11j  8.05331841e-05+4.66559230e-09j
  -4.65480972e-07-1.40092828e-10j ... -9.99999380e-01+6.86302980e-12j
  -2.72702905e-05-2.60251966e-10j -9.99999798e-01+3.52890336e-12j]
 [-2.01312486e-05+1.76395653e-09j -1.52053996e-07-4.39890410e-11j
  -6.02564521e-05+2.83093507e-09j ...  2.04481694e-05-7.07192970e-11j
  -9.99999798e-01-8.25893719e-13j  6.81690848e-06-2.46813704e-10j]]"
