form,rtol,N,a,omega,phi,onsite,O-3,O-2,O-1,O,O+1,O+2,O+3,N1-3,N1-2,N1-1,N1+1,N1+2,N1+3,N2-2,N2-1,N2,N2+1,N2+2,N3-2,N3-1,N3+1,N3+2,N4-1,N4,N4+1,N5-1,N5+1,N6
SS-p,1e-11,51,15,3.1,0,0,(0.0413220586129874-2.3533887417496463e-11j),(-0.07215705954624149-1.768231018908011e-11j),(0.07497477498818653-1.319156203670775e-11j),(-0.05655867500905591-1.1881945319960667e-10j),(0.0749747749883892-1.31915620366981e-11j),(-0.07215705954406977-1.768231018895678e-11j),(0.0413220586159726-2.3533887417334704e-11j),(0.26378755210068167-2.7480833233976795e-10j),(-0.38088858213521776+2.0749484010051374e-10j),(0.12105845997373536+8.661865405315209e-11j),(0.12105845997376723-1.1058400111043326e-10j),(-0.3808885821360187-2.1201408718526223e-10j),(0.2637875520980906+2.7323250939009415e-10j),(0.016460960373963208+4.556298667831913e-11j),(0.05225251546902843-4.435646365331018e-11j),(0.07497477498828631-8.2784826525867e-12j),(0.05225251546900483+6.7173970594880706e-12j),(0.016460960374738022-5.039119962735221e-11j),(-0.07568564732127474+2.22279799360718e-11j),(0.004444455920414475+2.0860988948135224e-10j),(0.004444455920785044-2.1086957125761267e-10j),(-0.07568564732123417-2.74922315635929e-11j),(0.01646096037445864+7.483169300159909e-11j),(-0.07215705954515136-5.513530393506398e-12j),(-0.026302095120666297+2.756490399741721e-10j),(-0.0263020951200272-2.723520580150263e-10j),(0.004444455920414475+2.0860988948135224e-10j),(0.041322058614476145-6.2972281634701164e-12j)
SS-p,1e-11,51,15,3.2,0,0,(0.053770864387783716-2.355698975802864e-11j),(-0.07406644088001373-1.9063970171844408e-11j),(0.07555038419604795-1.2236151658856779e-11j),(-0.06117117847863293-1.0266991939144675e-10j),(0.07555038419669527-1.22361516588589e-11j),(-0.07406644087940586-1.9063970171846062e-11j),(0.053770864387850226-2.3556989758026873e-11j),(0.3118838502726097-3.2811089643510524e-10j),(-0.35248006037443896+2.249851103654719e-10j),(0.1611449687221767+8.707808693119473e-11j),(0.16114496872221706-1.0233097008867035e-10j),(-0.3524800603750775-2.2829489198490742e-10j),(0.31188385027239596+3.260309391217242e-10j),(0.019006008774049916+7.41734642857459e-11j),(0.04561960107886336-5.875872901834058e-11j),(0.07555038419636899-8.342127171896404e-12j),(0.04561960107881711+1.8598847666520456e-11j),(0.019006008774258492-7.992643805003873e-11j),(-0.10168841717618121+5.2531159708495066e-11j),(0.013025011166437712+2.252292075626607e-10j),(0.013025011166337409-2.2802733181994997e-10j),(-0.10168841717616887-5.604714249778838e-11j),(0.019006008774159304+5.881300170768075e-11j),(-0.0740664408797036-6.8285020795816284e-12j),(-0.01982159201373306+3.260123640040435e-10j),(-0.019821592013784785-3.280960325343677e-10j),(0.013025011166437712+2.252292075626607e-10j),(0.05377086438781132-6.039686439096735e-12j)
SS-p,1e-11,51,15,3.3,0,0,(0.13382787200369956-2.412970906021265e-11j),(-0.16539371408996062-1.9885922471067168e-11j),(0.11894383578194817-1.1445523828223035e-11j),(-0.06981180633964237-8.867096305908774e-11j),(0.11894383578230373-1.1445523828225113e-11j),(-0.16539371408949033-1.9885922471069846e-11j),(0.1338278720038586-2.412970906021386e-11j),(-0.04919260850202435-1.8969521770354984e-10j),(-0.5528090128382909+1.3227178750430713e-10j),(0.2064057215649824+6.955103921407534e-11j),(0.2064057215649882-7.816001251420067e-11j),(-0.5528090128385726-1.3492238322318827e-10j),(-0.04919260850221716+1.8835464762871016e-10j),(0.08490790700390151+3.432495438966256e-11j),(0.08351409166584904-2.931878406762411e-11j),(0.11894383578212232-6.5637030737209435e-12j),(0.08351409166579375-1.1257111643887854e-11j),(0.0849079070041553-4.0198880105976274e-11j),(-0.10006003391113745+6.092222862017713e-11j),(0.06252874215092268+1.325602478758229e-10j),(0.06252874215085102-1.3463448361971952e-10j),(-0.10006003391112651-6.40559458548073e-11j),(0.08490790700402485+4.5562076162923e-11j),(-0.16539371408971767-6.437409761333801e-12j),(0.038392772738763466+1.884347996952145e-10j),(0.03839277273870953-1.896157195476065e-10j),(0.06252874215092268+1.325602478758229e-10j),(0.13382787200377042-6.478753103063991e-12j)
SS-p,1e-11,51,15,3.4,0,0,(0.046158117315931405-2.4292051485427242e-11j),(-0.08089089678162226-2.0351319528554092e-11j),(0.0806784382820549-1.1094170324463165e-11j),(-0.05743349632604238-7.818506452113168e-11j),(0.0806784382819164-1.1094170324462079e-11j),(-0.08089089678181231-2.0351319528551297e-11j),(0.04615811731565557-2.4292051485422204e-11j),(-0.06057936669044872-1.3377884520149331e-10j),(-0.5734768092205959+9.092911029412889e-11j),(0.25821965940632985+5.200783480098184e-11j),(0.2582196594063263-5.543539960733633e-11j),(-0.5734768092205058-9.224305955488062e-11j),(-0.06057936669043544+1.32278280377206e-10j),(0.03438562464924339+2.8828461049300322e-11j),(0.0592019526243381-4.0276786946427986e-11j),(0.08067843828198523-6.670768617472799e-12j),(0.05920195262436245+1.0842537803804675e-12j),(0.03438562464906503-3.473492977813205e-11j),(-0.09093361974326405+5.676060127932592e-11j),(0.030204514102472654+9.117370733345583e-11j),(0.030204514102499285-9.200207288528633e-11j),(-0.09093361974325757-5.96163550795768e-11j),(0.034385624649155865+4.0386043148815504e-11j),(-0.08089089678171574-7.72994009085991e-12j),(-0.0006429132899180186+1.33089470880724e-10j),(-0.0006429132898990097-1.3297479607248957e-10j),(0.030204514102472654+9.117370733345583e-11j),(0.046158117315790906-7.028914420557955e-12j)
SS-p,1e-11,51,15,3.5,0,0,(0.05973390234511496-2.4580345156853432e-11j),(-0.07829778375177861-2.0815910917705175e-11j),(0.06431512404733222-1.1127753682753047e-11j),(-0.03587916594833365-7.031248477585222e-11j),(0.06431512404714855-1.1127753682758398e-11j),(-0.07829778375217421-2.0815910917720652e-11j),(0.05973390234442266-2.4580345156885727e-11j),(-0.02517151016502099-1.4277607720556994e-10j),(-0.556053385933399+9.23194723227592e-11j),(0.28727566688516304+3.878669932816072e-11j),(0.28727566688514206-3.837429433378352e-11j),(-0.5560533859330936-9.30417441096364e-11j),(-0.025171510164325405+1.4161574866271102e-10j),(0.037570192848246635+2.6657682796942723e-11j),(0.04484825827151321-4.735000383601246e-11j),(0.06431512404724096-6.314340638449392e-12j),(0.04484825827154145+9.767987448798031e-12j),(0.0375701928479287-3.2711523984753404e-11j),(-0.10509792989340501+6.513532455450088e-11j),(0.035971505723508664+9.265940644560333e-11j),(0.03597150572354483-9.269646982909588e-11j),(-0.10509792989345515-6.810874681608035e-11j),(0.03757019284811542+4.066366484674586e-11j),(-0.07829778375197771-7.1700090599555936e-12j),(0.0071160153954097595+1.425678130839611e-10j),(0.007116015395421662-1.418118929309865e-10j),(0.035971505723508664+9.265940644560333e-11j),(0.059733902344771876-6.0113025046430386e-12j)
SS-p,1e-11,51,15,3.6,0,0,(0.050787929609331484-2.4714379395182464e-11j),(-0.08202980978093914-2.112851608789919e-11j),(0.057322249974086595-1.1274717561128752e-11j),(-0.013880065216994825-6.450432598931749e-11j),(0.05732224997411325-1.1274717561127713e-11j),(-0.08202980978095856-2.1128516087896973e-11j),(0.0507879296093585-2.471437939517629e-11j),(-0.44386926111605696-1.9873174099650024e-10j),(-0.7606489055267563+1.2315530587332324e-10j),(0.34035228902306863+4.2092021625985256e-11j),(0.3403522890230837-3.856821326618671e-11j),(-0.7606489055268293-1.2297998853192e-10j),(-0.4438692611161591+1.9754999975826865e-10j),(0.047249897146632136+1.917657324690754e-11j),(0.040320743225830576-5.5218938372000245e-11j),(0.05732224997409993-6.457620027343574e-12j),(0.040320743225829986+1.9602162752816335e-11j),(0.0472498971466378-2.508592658310891e-11j),(-0.05455128503723031+1.0220750740434451e-10j),(0.03154337318213483+1.2310582897397356e-10j),(0.031543373182121984-1.2302608287460165e-10j),(-0.05455128503721981-1.0502374469629764e-10j),(0.04724989714663162+4.328564290082678e-11j),(-0.08202980978094834-7.70290229051953e-12j),(0.013252443187102787+1.974946276811088e-10j),(0.013252443187089168-1.987794799978155e-10j),(0.03154337318213483+1.2310582897397356e-10j),(0.0507879296093456-6.6201785269632576e-12j)
SS-p,1e-11,51,15,3.7,0,0,(0.03787138075495769-2.4847533573353864e-11j),(-0.06063728764910605-2.1162047927668317e-11j),(0.0282019908782917-1.145834655033529e-11j),(0.020593161767472678-6.016642809692798e-11j),(0.02820199087827443-1.1458346550336002e-11j),(-0.060637287649128686-2.116204792767088e-11j),(0.037871380754918846-2.484753357335904e-11j),(-0.4256519789598928-6.14298764911494e-11j),(-0.754842156589923+5.433224502419734e-11j),(0.35924430123836737+9.275568621069954e-12j),(0.3592443012383669-3.4372818489890265e-12j),(-0.7548421565898956-5.3635868121892005e-11j),(-0.4256519789597892+6.060572264215775e-11j),(0.03539188970668456+9.445320138076095e-12j),(0.015083498302533884-5.7732579580345097e-11j),(0.02820199087828362-6.623165010640863e-12j),(0.01508349830253933+2.3738806001647352e-11j),(0.03539188970667323-1.5237430026445465e-11j),(-0.05866911653406433+6.334847067193207e-11j),(0.031577685417218025+5.4300651420790775e-11j),(0.031577685417222556-5.366544040551504e-11j),(-0.05866911653407525-6.638445427688887e-11j),(0.03539188970668215+3.137313311740345e-11j),(-0.06063728764912064-7.678803303758208e-12j),(0.016389772686577864+6.057906726230662e-11j),(0.016389772686586163-6.145167516393307e-11j),(0.031577685417218025+5.4300651420790775e-11j),(0.03787138075494194-6.658640897239436e-12j)
SS-p,1e-11,51,15,3.8,0,0,(0.033978630075537475-2.4917149934933475e-11j),(-0.057746246708961425-2.1176555694886922e-11j),(0.008476866570837077-1.1751661692250433e-11j),(0.0564753163894582-5.695468639712625e-11j),(0.008476866570805115-1.1751661692250986e-11j),(-0.0577462467090257-2.1176555694888803e-11j),(0.033978630075412686-2.4917149934938712e-11j),(-0.7596716659001898-2.1164960787680048e-11j),(-0.8962710869665241+4.0842723814748126e-11j),(0.3919023576319301-6.751775931808219e-12j),(0.3919023576319192+1.4478965214554954e-11j),(-0.8962710869664534-3.963227073586157e-11j),(-0.7596716659000216+2.0473289376188986e-11j),(0.03607687444601413-1.9702101030083557e-12j),(-0.008027533048579146-6.672138743159217e-11j),(0.008476866570819948-6.955217945631948e-12j),(-0.008027533048566429+3.431784909086952e-11j),(0.03607687444595858-3.693227183292695e-12j),(-0.013075187476543328+5.358348979781801e-11j),(0.021846600520314362+4.0789311326743456e-11j),(0.021846600520326-3.968847718109429e-11j),(-0.013075187476563718-5.6748492118493034e-11j),(0.0360768744459877+2.6665215081343837e-11j),(-0.05774624670898877-7.882264163846945e-12j),(0.01055638280665831+2.032338643135154e-11j),(0.010556382806673197-2.132139198500265e-11j),(0.021846600520314362+4.0789311326743456e-11j),(0.033978630075468134-7.170456093469534e-12j)
SS-p,1e-11,51,15,3.9,0,0,(0.032297430632601924-2.497050094761781e-11j),(-0.05004005896102371-2.1128922678181513e-11j),(-0.015374891910148904-1.2085498099153821e-11j),(0.09359231164675832-5.456451799538551e-11j),(-0.01537489191018588-1.2085498099154432e-11j),(-0.05004005896108204-2.11289226781844e-11j),(0.03229743063254423-2.4970500947623315e-11j),(-0.9448031791157566+1.3286429038020297e-11j),(-0.9668534902936444+3.060435737632945e-11j),(0.40731814395687094-2.4078358298145553e-11j),(0.40731814395686333+3.328752605950224e-11j),(-0.9668534902936169-2.9013489321297054e-11j),(-0.9448031791156721-1.3856745774029571e-11j),(0.03129750467452288-9.321280797111284e-12j),(-0.03564323854222645-7.490595139433102e-11j),(-0.015374891910168427-7.222972456884662e-12j),(-0.035643238542209674+4.385000245396398e-11j),(0.031297504674490606+3.810692286307233e-12j),(0.01215728620512914+3.586714758203919e-11j),(0.015838720267343166+3.061095903806004e-11j),(0.015838720267347593-2.900568701090645e-11j),(0.01215728620511973-3.915128978873522e-11j),(0.031297504674508675+2.4019154225405555e-11j),(-0.05004005896105212-7.587010780838109e-12j),(0.004279318396835437-1.3921481347144578e-11j),(0.004279318396840053+1.3224631150331641e-11j),(0.015838720267343166+3.061095903806004e-11j),(0.03229743063257108-6.664284842277873e-12j)
SS-p,1e-11,51,15,4.0,0,0,(0.01667330608012028-2.501131552860939e-11j),(-0.03400752923537714-2.101951142582329e-11j),(-0.04047001773766137-1.2426388068001544e-11j),(0.12755384976939255-5.290361946096068e-11j),(-0.04047001773761841-1.242638806800129e-11j),(-0.034007529235282-2.101951142582333e-11j),(0.016673306080277006-2.5011315528609392e-11j),(-0.9993292078638615+1.6796742539949993e-11j),(-0.9860158488038206+3.2414539181936764e-11j),(0.40881575620087324-3.6549628461951186e-11j),(0.40881575620087734+4.7005850272004667e-11j),(-0.9860158488038245-3.0491894111177085e-11j),(-0.9993292078638568-1.734224882541384e-11j),(0.019331282626805807-1.0123151505906052e-11j),(-0.0630560054513773-7.749706730790278e-11j),(-0.04047001773763932-7.626247825363813e-12j),(-0.06305600545139645+4.766345770696787e-11j),(0.01933128262686452+4.763020913868513e-12j),(0.01865074581953248+2.7348091450835287e-11j),(0.013984151178841185+3.243758796463033e-11j),(0.013984151178839596-3.046889165061653e-11j),(0.01865074581953807-3.072081137787686e-11j),(0.01933128262683321+2.4626661490051077e-11j),(-0.034007529235328654-7.684339768232593e-12j),(0.0006707921038540598-1.7256605457104367e-11j),(0.0006707921038506476+1.6882203251709447e-11j),(0.013984151178841185+3.243758796463033e-11j),(0.016673306080200775-7.1098518799866554e-12j)
