"form","rtol","a","omega","phi","N","hopping","onsite","next onsite","NNN","NNN overtop"
"Linear-m","",35,3.7,0.,51,-0.18723628551896526+0.00005827606642127704*I,3.7961589686129338*^-6+0.00004746809000886534*I,0.000027473955990227165+0.0000456144608458304*I,-5.8232971295907494*^-6-0.0027796104271049873*I,2.2182086019404204*^-6-0.0027239692902863415*I
"Linear-m","",35,3.8000000000000003,0.,51,-0.13914435356716576+0.00007225208988691106*I,-0.00003320891980150784+0.000044600476669726856*I,-0.0000331294984539203+0.00004733059481945882*I,0.00001396844807614395-0.0029186075149028896*I,0.000039044113283722044-0.0028140727324863497*I
"Linear-m","",35,3.9000000000000004,0.,51,-0.08416167844671824+0.00007397105007962823*I,0.00003655397219978643+0.00004753783548223824*I,0.0001270575877498157+0.00004815932503711111*I,0.00007392242834909808-0.002917192105278568*I,0.000029324815563873223-0.002809198785335751*I
"Linear-m","",35,4.,0.,51,-0.026396379102578547+0.00007391270300747207*I,0.00006329658403005642+0.00004827764236653402*I,0.00012515220576142874+0.00004720446285114717*I,0.00010159189066695219-0.002838538611275519*I,0.00005345914208452042-0.0027563617944612344*I
"Linear-m","",35,4.1,0.,51,0.032245334092557296+0.0000714129839868087*I,-0.0000458201896997106+0.000046030319225932524*I,-0.00002714470850600088+0.00004671501910560378*I,-0.00002475830422093918-0.0027747747991045727*I,-0.00003733252893932985-0.0026774331397410073*I
"Linear-m","",35,4.199999999999999,0.,51,0.08721356320964255+0.00007114728321867681*I,-8.890468469521562*^-6+0.00004755823640960975*I,0.000024327264087785913+0.0000481761667195505*I,0.000026126787149627394-0.002818964779218668*I,-0.000014531106654098666-0.002738799681092956*I
"Linear-m","",35,4.299999999999999,0.,51,0.1376661372753999+0.00006380234818491269*I,-0.00005178522653328903+0.00004792946464283976*I,3.0625077547469584*^-6+0.00004660418488586821*I,0.0000182103479829639-0.0028921947797199477*I,5.9568493805531916*^-6-0.0027513586260819434*I
"Linear-m","",35,4.399999999999999,0.,51,0.18227302047825164+0.000058141753505275615*I,-0.000030391441962076583+0.00004922864794547438*I,-0.000037757553708748365+0.000049676197107174146*I,-0.00006094823877847086-0.0028001056963337222*I,-0.00003451230581572387-0.002741384004111813*I
"Linear-m","",35,4.499999999999998,0.,51,0.21982542074085692+0.0000444267001561286*I,-0.00002590625994157783+0.00005021186501587817*I,0.00002551075034268888+0.00004905782552074337*I,0.000021730507557900843-0.002833828937928182*I,4.143304241060585*^-6-0.0027668432798020792*I
"Linear-m","",35,4.599999999999998,0.,51,0.2502621371833133+0.00003126969261750709*I,-0.00004433265131711765+0.000048165670355184276*I,-0.000022255093881777457+0.0000489184300290769*I,-0.00005736412673209472-0.002760654371570198*I,-0.000017100318538936475-0.002690690934718169*I
