"form","a","omega","phi","N","hopping","onsite","next onsite","NNN","NNN overtop"
"OSC-mathematica",35,4,1.0471975511965976,51,-0.03964733924007885-0.03190472021884863*I,-0.025853117088627642+1.9510895962884895*^-7*I,0.00781748495780583-3.493188865093759*^-8*I,0.08641010652780132+0.09275106971427108*I,0.007817484957668083-1.5853081841315358*^-8*I
"OSC-mathematica",35,4.1,1.0471975511965976,51,-0.025007077025912892+0.024320849430938922*I,0.00036528569047235607+2.992271970287032*^-7*I,-0.006629799747356561-1.667928901863405*^-8*I,0.09194613687260009+0.08899580199088108*I,-0.006629799747262931+1.6531472799811205*^-9*I
"OSC-mathematica",35,4.199999999999999,1.0471975511965976,51,0.007723362224390552+0.07002840846689898*I,0.02818053399547535+7.22125461167328*^-7*I,-0.021519914882406243-1.5094478455779644*^-8*I,0.09571925630545211+0.0831688278837317*I,-0.02151991488201542+4.1557336533212174*^-9*I
"OSC-mathematica",35,4.299999999999999,1.0471975511965976,51,0.05316673153721904+0.10089230878186067*I,0.05360874575144863+6.889674255747914*^-7*I,-0.03475524104286144-1.9329232439629358*^-8*I,0.09712821629861798+0.07624434584856288*I,-0.03475524104298981-1.7353930687897806*^-9*I
"OSC-mathematica",35,4.399999999999999,1.0471975511965976,51,0.10528708142487428+0.1148334086901763*I,0.07370023699571443+1.0178898434037657*^-6*I,-0.04485479187863668-2.2285228004216458*^-8*I,0.09597906759155844+0.06910752210776633*I,-0.044854791878163006-1.029210542553538*^-8*I
"OSC-mathematica",35,4.499999999999998,1.0471975511965976,51,0.15804856215652535+0.11186369807544151*I,0.08665539821519426+6.021508615119407*^-7*I,-0.050972353381565604-4.5029123500456865*^-8*I,0.09241458214980834+0.06250121609853856*I,-0.05097235338158214-2.8326456399108155*^-8*I
"OSC-mathematica",35,4.599999999999998,1.0471975511965976,51,0.20603610363742858+0.09382442343396902*I,0.09181120271750602+1.527170094238335*^-7*I,-0.05287190464655327-7.379488570056404*^-8*I,0.08684069815599119+0.05698613558710239*I,-0.05287190464664246-5.548009072382449*^-8*I
"OSC-mathematica",35,4.6999999999999975,1.0471975511965976,51,0.2449880950794944+0.06394579120305288*I,0.08952073174245471-3.059820026857819*^-8*I,-0.05084595285378174-8.196804665026392*^-8*I,0.07983359767402275+0.05291114017959296*I,-0.05084595285379927-6.55301005774667*^-8*I
"OSC-mathematica",35,4.799999999999997,1.0471975511965976,51,0.27214132766862154+0.026284824548406114*I,0.08094949973147889+3.665681647117701*^-7*I,-0.04558498327804689-6.219363305463468*^-8*I,0.07204374871494404+0.05041887763782458*I,-0.0455849832780075-4.6455181105586875*^-8*I
"OSC-mathematica",35,4.899999999999997,1.0471975511965976,51,0.28631901174991675-0.014896262824042545*I,0.06774200175576225+5.267948731915599*^-7*I,-0.03801136809285521-4.2737155290277345*^-8*I,0.06409531959263594+0.049460121586472075*I,-0.038011368092844305-2.7559762789769848*^-8*I
"OSC-mathematica",35,4.9999999999999964,1.0471975511965976,51,0.287774913449636-0.05565921797241911*I,0.05173148379023428+2.162097117101678*^-7*I,-0.029114605465595012-5.4075709809182516*^-8*I,0.056519947173006714+0.049849732640587126*I,-0.029114605465582526-3.7969267376426904*^-8*I
"OSC-mathematica",35,5.099999999999996,1.0471975511965976,51,0.27786606750663223-0.09276420016452362*I,0.03467010448915439+2.2810197398491924*^-7*I,-0.01981742039701637-5.251135163376526*^-8*I,0.04971726288251845+0.05131527095620459*I,-0.019817420396987594-3.874831740915819*^-8*I
"OSC-mathematica",35,5.199999999999996,1.0471975511965976,51,0.25865088114104445-0.1238532107988636*I,0.018040936729501626+8.565024738041537*^-8*I,-0.010889017478493548-4.895247964694101*^-8*I,0.04393438428446531+0.05355253165359588*I,-0.010889017478502211-3.553384303139365*^-8*I
"OSC-mathematica",35,5.299999999999995,1.0471975511965976,51,0.23251527847608572-0.14745624147467978*I,0.00298934148304986+3.256873402800373*^-7*I,-0.0029036978771409157-2.73558622404127*^-8*I,0.03929221402548901+0.05626300291204582*I,-0.0029036978771475527-1.3461701092940625*^-8*I
"OSC-mathematica",35,5.399999999999995,1.0471975511965976,51,0.20187140348446372-0.1628980106201429*I,-0.00971382595333924+1.408744613574076*^-7*I,0.0037606964681496553-3.405638181867971*^-8*I,0.03580366359738575+0.059180201989623225*I,0.003760696468091594-2.028786097742143*^-8*I
"OSC-mathematica",35,5.499999999999995,1.0471975511965976,51,0.16895238487567346-0.17013723029881597*I,-0.019627708535958487+4.5205039450266045*^-7*I,0.008900830474763022-5.39971958008826*^-9*I,0.03340494695816353+0.06208296344977072*I,0.008900830474804895+8.295227006266238*^-9*I
"OSC-mathematica",35,5.599999999999994,1.0471975511965976,51,0.13569818444886156-0.16960113963271056*I,-0.026582257545865552+2.6304715908979866*^-7*I,0.012454576349321143-2.6992780583287602*^-8*I,0.03198501351899869+0.06480234022571621*I,0.012454576349204806-1.100496005857328*^-8*I
"OSC-mathematica",35,5.699999999999994,1.0471975511965976,51,0.1037037501011112-0.16203132746983825*I,-0.030623504901134115+6.540901639385769*^-7*I,0.014465636246329131-9.271819600537431*^-9*I,0.031403813435000975+0.0672106087659947*I,0.014465636246186683+3.444425234525957*^-9*I
"OSC-mathematica",35,5.799999999999994,1.0471975511965976,51,0.07421889851199856-0.1483587813873903*I,-0.03193506863636931+2.2087971037354072*^-7*I,0.015049418344011418-2.8474171109340097*^-8*I,0.031511933724616+0.06922750305966487*I,0.01504941834460818-1.4297219245847998*^-8*I
"OSC-mathematica",35,5.899999999999993,1.0471975511965976,51,0.0481695146282163-0.1296054108990184*I,-0.030806090671063772+4.237455248775371*^-7*I,0.014368871457792063-1.547760666244994*^-8*I,0.03216308735151548+0.07080112553105221*I,0.014368871457479494-2.780700653767462*^-9*I
"OSC-mathematica",35,5.999999999999993,1.0471975511965976,51,0.026193484338710653-0.10681625285771622*I,-0.027576609484915856+4.41422620284315*^-7*I,0.012610378295829089-1.4728940671793905*^-8*I,0.033218162018537056+0.07191207134497302*I,0.01261037829547056-2.596666374034954*^-9*I
"OSC-mathematica",35,6.0999999999999925,1.0471975511965976,51,0.00868624006174559-0.08100935802623711*I,-0.022610422787875825+5.431606604598186*^-7*I,0.009970035980707486-1.806605374430601*^-8*I,0.03455160337336514+0.0725603243215358*I,0.009970035981250205-5.840940071328163*^-10*I
"OSC-mathematica",35,6.199999999999992,1.0471975511965976,51,-0.00416472219978555-0.05314609405000504*I,-0.016274352010312645+8.126028489336935*^-7*I,0.006641940589890514-6.272687337917745*^-10*I,0.036053433403293415+0.07276119255539984*I,0.006641940589034206+1.2376349367085969*^-8*I
"OSC-mathematica",35,6.299999999999992,1.0471975511965976,51,-0.01233765388381061-0.024108876571307367*I,-0.008918482953255397+4.043770475639479*^-7*I,0.0028107177040230073-2.1703578372050836*^-8*I,0.037628265150009596+0.07254263742518459*I,0.0028107177043189893-6.240095005180525*^-9*I
"OSC-mathematica",35,6.3999999999999915,1.0471975511965976,51,-0.015946038029412395+0.005308595088683439*I,-0.000873171617443655+6.60418752037501*^-7*I,-0.0013530641481222343-1.0350718587401213*^-8*I,0.03919847836962752+0.07193910902802862*I,-0.0013530641481911722+6.836290407569486*^-9*I
