form,rtol,a1,a2,omega1,omega2,phi,N,square,chi,gamma,triangle,alpha,tilde,star,beta,rho,epsilon,delta
DS-p,1e-11,35.0,35.0,3.7,7.4,1.5707963267948966,51,(-2.2228702568761989e-10+4.708389975944559e-10j),(4.0758818797304916e-11-3.0506965823006096e-11j),(-0.17111233591106156+0.017060518932133284j),(-6.233121177472265e-10+1.017498131273823e-10j),(-4.1276190328276254e-10-1.9787678254695882e-10j),(-0.1298516797590378-0.35095420601785715j),(-3.245548407392225e-10-6.70363521298816e-10j),(-2.0607354695280702e-10-1.8722448622248526e-10j),(0.02724799943141576+0.2360922873666604j),(-2.92643067222563e-10-1.834849858856069e-10j),(2.254854289396313e-11-4.237932780047809e-11j)
DS-p,1e-11,35.0,35.0,3.8,7.6,1.5707963267948966,51,(-1.473813194623277e-10+7.197028309502799e-10j),(4.0470938817096585e-11-2.8519335756558487e-11j),(-0.1211630077156209+0.06352765644589749j),(-8.449312753895685e-10+2.976837176270473e-10j),(-5.058019361319302e-10-2.1022836758837768e-10j),(-0.11138403828378533-0.37674421129327773j),(-2.2726184974695973e-10-7.045787710593162e-10j),(-2.884989834647713e-10-2.0334647557997302e-10j),(-0.0034527340307593675+0.2819805399623301j),(-2.8638474060195714e-10-2.7697554059319396e-10j),(1.962868236005111e-11-4.4651830351070754e-11j)
DS-p,1e-11,35.0,35.0,3.9,7.8,1.5707963267948966,51,(-2.0388585854415092e-11+7.955346914657707e-10j),(1.9141342893419643e-11-2.0733030388801464e-11j),(-0.0545756509224236+0.07500713665467612j),(-8.510086239503181e-10+4.297477190696086e-10j),(-4.801431840347468e-10-2.2507444470418977e-10j),(-0.088679232579116-0.38400672551881077j),(-1.1424744890365865e-10-7.297608897380292e-10j),(-2.8637199344727984e-10-2.1815451465596992e-10j),(-0.04277717463458817+0.31362664578512944j),(-2.850101748575265e-10-3.0997155883727423e-10j),(4.385776117277196e-11-4.499903876681714e-11j)
DS-p,1e-11,35.0,35.0,4.0,8.0,1.5707963267948966,51,(-3.320208016378301e-11+6.076526979830538e-10j),(-2.22735915945013e-11-1.0384500931659166e-11j),(0.007603005867449246+0.05257184637875517j),(-4.4279369273460945e-10+2.2180276937051797e-10j),(-2.4545303796321137e-10-2.532417061113888e-10j),(-0.0701107244207348-0.37430841853639185j),(2.943752831557553e-11-8.042390116973978e-10j),(-1.1734477530834543e-10-2.4467462870389276e-10j),(-0.0864140339113312+0.33106239299482165j),(-2.794304119417123e-10-2.8136278669346065e-10j),(6.631353192260159e-11-4.715031061117266e-11j)
DS-p,1e-11,35.0,35.0,4.1,8.2,1.5707963267948966,51,(-1.3432070110578272e-10+4.0492491819758325e-10j),(-3.979791046779773e-11-8.105965327402428e-12j),(0.052542182477353615+0.006480158300980509j),(-8.986220416297029e-11-1.0576871616695901e-10j),(-7.391646710864464e-11-2.573413711920148e-10j),(-0.06101974220690144-0.35207994947553056j),(1.3899011835124403e-10-7.556480430259954e-10j),(-2.0490115030039058e-11-2.4192448872090236e-10j),(-0.13120595113743327+0.3369620891474389j),(-2.2858842726666828e-10-2.5527036918732843e-10j),(7.860492465261437e-11-4.6184596442779164e-11j)
DS-p,1e-11,35.0,35.0,4.2,8.4,1.5707963267948966,51,(-1.87698490581966e-10+3.8679183202370704e-10j),(-3.501314311041437e-11-1.3015517601543514e-11j),(0.07523516375532606-0.05184700092701073j),(-2.026478849484533e-11-3.2274900588186135e-10j),(9.186282779484456e-12-2.449088741118305e-10j),(-0.0637651928651492-0.3227497137540562j),(1.7108998740585513e-10-6.472163813187829e-10j),(-7.441558464273482e-12-2.2113165831741885e-10j),(-0.1751592531971992+0.33369826877156944j),(-1.7841593176817772e-10-2.3824620477407715e-10j),(7.856559153252007e-11-4.267190058117687e-11j)
DS-p,1e-11,35.0,35.0,4.3,8.6,1.5707963267948966,51,(-2.0900693429652547e-10+3.611994339414305e-10j),(-2.1770811117142684e-11-2.313380048875807e-11j),(0.07514481740942636-0.11254703520077176j),(-7.619630001999943e-11-4.890751296008115e-10j),(5.92051949767571e-11-2.1227321704369718e-10j),(-0.07832902265048829-0.29149996754411445j),(1.6321413327574554e-10-5.39188942084122e-10j),(-1.0019359379166183e-11-1.8326708258648412e-10j),(-0.21639810995199388+0.3222632361918179j),(-1.3240954133911936e-10-2.1700625801521212e-10j),(7.087768176192166e-11-3.955681172763368e-11j)
DS-p,1e-11,35.0,35.0,4.4,8.8,1.5707963267948966,51,(-1.826831619572893e-10+3.974871050768921e-10j),(-3.1430836645669895e-12-3.193872210504792e-11j),(0.054841315386990816-0.16761420189303194j),(-2.2888456662382596e-10-5.380251899094315e-10j),(8.647245037002184e-11-1.8447520704851626e-10j),(-0.10305984265314252-0.26264565904810233j),(1.589480120534558e-10-4.835383853165958e-10j),(-2.4320704277531677e-11-1.5463152354770319e-10j),(-0.25340884085362153+0.3039782037274421j),(-1.1872075230453388e-10-2.3101274235562408e-10j),(6.322654769533309e-11-3.936253816303828e-11j)
DS-p,1e-11,35.0,35.0,4.5,9.0,1.5707963267948966,51,(-1.642581848356753e-10+3.8515570085186184e-10j),(1.770243862702759e-11-3.6104499657581125e-11j),(0.018765955307084674-0.21128139376645627j),(-3.6874612117393935e-10-4.709496045832707e-10j),(9.139904077832544e-11-1.7228758945589036e-10j),(-0.1353590121590789-0.23937158555686425j),(1.6838238160558905e-10-4.751211942086652e-10j),(-4.761843584645976e-11-1.4363120056243726e-10j),(-0.2851278004384187+0.2803551904330151j),(-1.0395818331610657e-10-2.383327818954173e-10j),(5.441673891007359e-11-4.0764975969506206e-11j)
DS-p,1e-11,35.0,35.0,4.6,9.2,1.5707963267948966,51,(-1.2487868229151446e-10+3.911411496429569e-10j),(4.2691776156909417e-11-3.6979439546756236e-11j),(-0.027707490292205057-0.2400231980691326j),(-4.643495526210159e-10-3.478491845401093e-10j),(7.814070871237505e-11-1.627155502879455e-10j),(-0.17220406723690437-0.22368281100012824j),(1.901452470072485e-10-4.595990359818736e-10j),(-6.141448810549795e-11-1.373780148533434e-10j),(-0.3109537027885348+0.2529443487955521j),(-8.910938100684801e-11-2.5590653706351885e-10j),(4.725606494657142e-11-4.145686018476951e-11j)
