form,rtol,N,a1,a2,omega1,omega2,phi1,phi2,square,chi,gamma,triangle,alpha,tilde,star,beta,rho,epsilon,delta
DS-p,1e-11,51,35.0,35.0,20.0,40.0,1.5707963267948966,2.356194490192345,(2.364386889429056e-05+6.818805237509716e-05j),(1.5223489917200422e-05-3.526440726304625e-11j),(0.07121756400343333-0.35882991048125j),(-0.011067817625126541+0.0028620583861621914j),(0.0037369085487493512-1.1631475774667367e-10j),(-0.2733170059202592+0.20142348610568092j),(-0.020689792390082038+0.015599928629731087j),(0.019065856410378352-5.621592196657607e-11j),(-0.6654029452912769+0.47300086777321493j),(0.012673845071296475-0.006218053155136093j),(-0.022863941427138587-4.552793628675848e-11j)
DS-p,1e-11,51,35.0,35.0,20.1,40.2,1.5707963267948966,2.356194490192345,(2.3497858393956212e-05+6.711423592486304e-05j),(1.5098831000352796e-05-3.576361463150165e-11j),(0.06897077854252907-0.36442085695618753j),(-0.010945851469199384+0.0030089882306424147j),(0.0036926202402207597-1.1620196986508654e-10j),(-0.2748018542571598+0.20501212285110218j),(-0.02058444412746709+0.015400173533922899j),(0.01895523859197222-5.67040190502528e-11j),(-0.6682940735957931+0.4719360518687919j),(0.01257310378709613-0.006133987841551936j),(-0.022708106779704057-4.60893288309655e-11j)
DS-p,1e-11,51,35.0,35.0,20.2,40.4,1.5707963267948966,2.356194490192345,(2.3338033860214897e-05+6.605342767423278e-05j),(1.4975258865037233e-05-3.542271638946415e-11j),(0.06665435943293023-0.36994206624272186j),(-0.010823148243332647+0.0031512798096840974j),(0.003645667204203617-1.1512166073253563e-10j),(-0.27633075393101236+0.2085636286321801j),(-0.0204788174798392+0.015203490270827043j),(0.018848330919761208-5.601606451295832e-11j),(-0.6711503145750797+0.47086500220007016j),(0.012473412765060848-0.006051394062771977j),(-0.02255333551260391-4.620998331274557e-11j)
DS-p,1e-11,51,35.0,35.0,20.3,40.6,1.5707963267948966,2.356194490192345,(2.31654342093781e-05+6.500574641134108e-05j),(1.4852719766294295e-05-3.548599311852422e-11j),(0.06427072893703406-0.3753933616087245j),(-0.010699819202576918+0.0032890277006362885j),(0.0035962174455641447-1.1316631209469432e-10j),(-0.2779022950432398+0.2120775969494388j),(-0.020372957278767173+0.015009830170859545j),(0.01874497122096839-5.5269177393328495e-11j),(-0.6739721687952392+0.46978809596765225j),(0.012374760847864558-0.005970240687870051j),(-0.022399633062042373-4.558885410153123e-11j)
DS-p,1e-11,51,35.0,35.0,20.4,40.8,1.5707963267948966,2.356194490192345,(2.2981138372018964e-05+6.397136693782812e-05j),(1.4731173268480542e-05-3.591645849800625e-11j),(0.061822255714715904-0.38077461951315067j),(-0.010575970156643919+0.0034223260629785666j),(0.003544432148220812-1.1132666843899414e-10j),(-0.27951509242251216+0.21555366397829825j),(-0.020266906344350157+0.01481914505451865j),(0.01864500343252153-5.5347478666314533e-11j),(-0.6767601297519094+0.46870569716185895j),(0.01227713688702612-0.005890497404975756j),(-0.0222470040675294-4.5809962629024875e-11j)
DS-p,1e-11,51,35.0,35.0,20.5,41.0,1.5707963267948966,2.356194490192345,(2.278613437971884e-05+6.295039997250172e-05j),(1.4610568637067091e-05-3.636266794154006e-11j),(0.059311255336460846-0.38608576685739093j),(-0.010451701707547856+0.0035512684753817546j),(0.0034904658644682937-1.108958909302936e-10j),(-0.28116778582848667+0.2189915065976976j),(-0.020160705561859494+0.014631387287553036j),(0.018548277353722768-5.5453805533609734e-11j),(-0.679514683951341+0.46761815706842824j),(0.012180529795318924-0.005812134566366121j),(-0.022095452455014736-4.598369895639527e-11j)
DS-p,1e-11,51,35.0,35.0,20.6,41.2,1.5707963267948966,2.356194490192345,(2.2581369438829605e-05+6.194294480285113e-05j),(1.4490869418713054e-05-3.635217472055444e-11j),(0.05673999077668456-0.3913267782381576j),(-0.010327109468241634+0.003675947868084506j),(0.0034344667230903833-1.0987057656285184e-10j),(-0.2828590400641067+0.222390840484117j),(-0.020054393960244443+0.01444650978342916j),(0.01845464848440631-5.528737094140366e-11j),(-0.6822363109082104+0.46652581465640325j),(0.012084928516155634-0.005735123262996009j),(-0.021944981451615303-4.609575389817371e-11j)
DS-p,1e-11,51,35.0,35.0,20.7,41.4,1.5707963267948966,2.356194490192345,(2.23676753578517e-05+6.0949038590073223e-05j),(1.437203588152726e-05-3.641618227759748e-11j),(0.05411067298445382-0.3964976734492067j),(-0.010202284256467346+0.003796456426828765j),(0.0033765766531646674-1.0865414545731172e-10j),(-0.2845875450701548+0.22575141833336096j),(-0.019948008787425198+0.014264466004207502j),(0.018363977872051004-5.451459277071091e-11j),(-0.6849254832381729+0.465428997038986j),(0.011990322060476621-0.005659435272728389j),(-0.021795593627904425-4.557150245173357e-11j)
DS-p,1e-11,51,35.0,35.0,20.8,41.6,1.5707963267948966,2.356194490192345,(2.2145881707752923e-05+5.9968748185609475e-05j),(1.4254048496930433e-05-3.664249153521031e-11j),(0.051425461491627154-0.40159851506788063j),(-0.010077312319357165+0.003912885539476629j),(0.003316931593720742-1.0686172796693866e-10j),(-0.28635201599623034+0.22907302811465224j),(-0.019841585567887524+0.014085209996866355j),(0.018276131877216693-5.4334465347523624e-11j),(-0.6875826666550077+0.4643280198223417j),(0.01189669945759374-0.005585043100805445j),(-0.021647290930179128-4.579112476119217e-11j)
DS-p,1e-11,51,35.0,35.0,20.9,41.8,1.5707963267948966,2.356194490192345,(2.191677788599463e-05+5.900209828739976e-05j),(1.4136869214286148e-05-3.66334882436995e-11j),(0.048686465065796616-0.4066294061410593j),(-0.00995227539439165+0.004025325673395734j),(0.0032556617067076407-1.0422295416695895e-10j),(-0.28815119320334726+0.23235549139075903j),(-0.01973515819710933+0.013908696368922882j),(0.018190982106155454-5.3711724571534655e-11j),(-0.6902083200524632+0.4632231875205211j),(0.011804049853218684-0.005511919809350913j),(-0.021500074712555772-4.542884809619058e-11j)
