form,rtol,N,a1,a2,omega1,omega multiplier,phi1,phi offset,square,chi,gamma,triangle,alpha,tilde,star,beta,rho,epsilon,delta
DS-p,1e-11,51,35.0,35.0,3.7,2.0,1.5707963267948966,0.7853981633974483,(-0.0009004909917961771+0.0004977967972565111j),(-0.0007448275197158603-4.800330918679688e-11j),(-0.17050348604321808+0.008589786565316237j),(0.005076487381398478-0.018183422745028755j),(0.04138042375651239-2.0802336074834425e-10j),(0.16867688708026568+0.11629295104411336j),(0.009297738215584384+0.017014498839360286j),(0.0018323737382096872-2.1863317477610147e-10j),(-0.22907069677721176+0.05344867753357408j),(0.06648847051886388-0.023996765942385204j),(-0.04491208587922749-3.4410671016577604e-11j)
DS-p,1e-11,51,35.0,35.0,3.8,2.0,1.5707963267948966,0.7853981633974483,(0.0002518343275211563+0.0019665839244948093j),(-0.0009805145947111517-3.628491870679038e-11j),(-0.12561049821680645+0.05337388750147534j),(-0.002293398752969439-0.02274953624994778j),(0.046769674549813844-2.2758811156233047e-10j),(0.1612488389424449+0.0782895136800021j),(-0.004063964688391076+0.01635527615224622j),(0.0004128171659242923-2.2920232799509468e-10j),(-0.2775885002905993+0.036242807506579426j),(0.07437296754566608-0.02595225123404589j),(-0.049014838464925464-4.0995964611826716e-11j)
DS-p,1e-11,51,35.0,35.0,3.9,2.0,1.5707963267948966,0.7853981633974483,(0.0017140191952375006+0.0029966964382024497j),(-0.0010838142438870807-2.8620177284547897e-11j),(-0.0635841936692466+0.06765324252731823j),(-0.011379614666195702-0.02326352877120132j),(0.055275460615729625-2.466549562404526e-10j),(0.1703533875281389+0.045027799044910055j),(-0.01646643916344151+0.012412384238661207j),(-0.0074819136449203755-2.363909893156565e-10j),(-0.31490773550140627+0.011667791600873617j),(0.07425208801911888-0.025740692079681653j),(-0.049563927058380905-4.193656260352844e-11j)
DS-p,1e-11,51,35.0,35.0,4.0,2.0,1.5707963267948966,0.7853981633974483,(0.003160371148223173+0.003553485157147343j),(-0.001028966424296876-2.553918341442519e-11j),(-0.0027145454733816464+0.0510427681041402j),(-0.020175834666245743-0.019470600670022802j),(0.06609267370240039-2.5601153870473454e-10j),(0.19021911630318086+0.02369668895484761j),(-0.02672095482405893+0.0062226663917936435j),(-0.020264861086219287-2.35942458939556e-10j),(-0.34088162521480325-0.016508841293183737j),(0.06914638248656989-0.02464878088625736j),(-0.04741586421060711-4.0483183345332824e-11j)
DS-p,1e-11,51,35.0,35.0,4.1,2.0,1.5707963267948966,0.7853981633974483,(0.004380806254843636+0.0037217638718244853j),(-0.0008934054916899997-4.1736274254852993e-11j),(0.04453371173246801+0.010788913751646294j),(-0.0270143674640776-0.012140094083127733j),(0.0776855538154566-2.0387675645211137e-10j),(0.2140694513263875+0.017589753201722406j),(-0.03458172321110985-0.0010686368565788022j),(-0.03540231121664107-1.6809164322587507e-10j),(-0.3579460042501447-0.045593551524867694j),(0.06261199410468461-0.023808287034802922j),(-0.04368888825693069-3.8927624638300796e-11j)
DS-p,1e-11,51,35.0,35.0,4.2,2.0,1.5707963267948966,0.7853981633974483,(0.005272537368622199+0.003611047712080489j),(-0.0007223965789872437-3.358076081156444e-11j),(0.07161187962699743-0.04382250506274664j),(-0.03073919584066614-0.002478036118713548j),(0.0881882691058536-2.231786146087616e-10j),(0.23555556875851721+0.026580092445644684j),(-0.040240324115141425-0.008651469687541545j),(-0.05031535106764227-1.8449839053335442e-10j),(-0.36833178422667273-0.07423390064752126j),(0.05645779718368161-0.023683089261329265j),(-0.039144719195615935-3.9695789506136793e-11j)
DS-p,1e-11,51,35.0,35.0,4.3,2.0,1.5707963267948966,0.7853981633974483,(0.005754426532809242+0.0032854427057804328j),(-0.0005437741460406444-3.309451045268989e-11j),(0.07599042967649453-0.10347613111213572j),(-0.03066735555004845+0.008083753860505988j),(0.09584241641545105-2.0965572047670903e-10j),(0.2496540328865135+0.047919948375489914j),(-0.04386508260517302-0.01602990007570605j),(-0.06287347742454426-1.7045865240454942e-10j),(-0.37272423443370656-0.10162246844463826j),(0.050874807691004345-0.024132292757394275j),(-0.03414158620161804-4.124732973744619e-11j)
DS-p,1e-11,51,35.0,35.0,4.4,2.0,1.5707963267948966,0.7853981633974483,(0.005816040804658497+0.0028105430805910312j),(-0.0003786566574156139-3.438097810811754e-11j),(0.058830000241641714-0.15947456550182285j),(-0.02677848367916312+0.018010121963253363j),(0.09936607252027051-1.929826993123594e-10j),(0.25322342104257856+0.07721004850354646j),(-0.04571477778373811-0.02288311227901932j),(-0.07151066969832104-1.552258567670223e-10j),(-0.37184357177115945-0.12725490611052961j),(0.04596224328237416-0.02500725763041047j),(-0.02894818977733478-4.234554844124257e-11j)
DS-p,1e-11,51,35.0,35.0,4.5,2.0,1.5707963267948966,0.7853981633974483,(0.005505116226227661+0.0022519522124755647j),(-0.00024062297947779435-3.6263658642515964e-11j),(0.024167307576879488-0.204897506895272j),(-0.01966356396735329+0.025958946323193323j),(0.09817869536743583-1.795381605084838e-10j),(0.245161247049755+0.109430701511465j),(-0.04608254249458864-0.029029554444820305j),(-0.07544196730601112-1.4383299717977496e-10j),(-0.36640013987919406-0.15080836555198693j),(0.041733767627352536-0.02617347501639443j),(-0.023754850914515485-4.279243093761069e-11j)
DS-p,1e-11,51,35.0,35.0,4.6,2.0,1.5707963267948966,0.7853981633974483,(0.0049092047018672496+0.0016716264692986757j),(-0.00013600319076817588-3.803711878934337e-11j),(-0.022211804288745956-0.2352940867288963j),(-0.010347198870096193+0.030997286360437346j),(0.09243806264677973-1.6800557712585162e-10j),(0.2261914550017512+0.13987544239429964j),(-0.04525744231469693-0.03438729139466512j),(-0.07468353089982187-1.3737008959620806e-10j),(-0.3570808974854393-0.1720530257150788j),(0.0381387253335852-0.027524429114493765j),(-0.01869317942362045-4.3083825450757075e-11j)
DS-p,1e-11,51,35.0,35.0,4.7,2.0,1.5707963267948966,0.7853981633974483,(0.004134587994316324+0.0011225143114254113j),(-6.510744072653327e-05-3.901295757723506e-11j),(-0.07395954933908466-0.24883180508267289j),(-4.997595018970061e-05+0.03269631070951094j),(0.08291277979999574-1.5838591223844753e-10j),(0.19838518075912323+0.16482512129048946j),(-0.04350138569713171-0.038937660531997584j),(-0.06990693778757119-1.3081800259524006e-10j),(-0.3445465001483077-0.19080550083923503j),(0.035090733288409295-0.028985536203798474j),(-0.013855563961910563-4.2235283063550495e-11j)
