form,rtol,a,omega,phi,N,hopping,onsite,next onsite,NNN,NNN overtop
SS-p,1e-09,35.0,3.7,0.4487989505128276,51,(0.11132428546127257+0.14765835049010806j),(-0.045139862482985266-2.128063792996256e-08j),(0.02099073096709691-2.4747955142549023e-09j),(-0.027104366917899553-0.04194537069429937j),(0.02099073096698838-2.0203807429185376e-09j)
SS-p,1e-09,35.0,3.8,0.4487989505128276,51,(0.10465972909900494+0.10387766104268775j),(-0.04560484615420731-2.6129892809674074e-08j),(0.020353927495141498-2.7117708906910764e-09j),(-0.04529124178451249-0.06115141042593586j),(0.02035392740573279-3.2361877653086774e-09j)
SS-p,1e-09,35.0,3.9,0.4487989505128276,51,(0.07956759272681531+0.05741134757670758j),(-0.03343100513272544-3.089872001536301e-08j),(0.011841330382511877-2.670982884373339e-09j),(-0.05910044946819066-0.07018691258253443j),(0.011841330382390717-2.2155411398834156e-09j)
SS-p,1e-09,35.0,4.0,0.4487989505128276,51,(0.04139054298573281+0.015910608362004818j),(-0.014360444334009573-3.589234269624958e-08j),(-0.00032759916966744733-2.6375134980070285e-09j),(-0.06658829494012876-0.07066801334475793j),(-0.00032759916972032626-2.1829270797424443e-09j)
SS-p,1e-09,35.0,4.1,0.4487989505128276,51,(-0.0046984389355907135-0.017192136027916874j),(0.005962241623589533-3.877441172078697e-08j),(-0.012754207970781771-2.540288275437804e-09j),(-0.0689131874696201-0.06658737395339868j),(-0.012754207970729707-2.0854593142138028e-09j)
SS-p,1e-09,35.0,4.2,0.4487989505128276,51,(-0.054884515877107146-0.04089267309938027j),(0.023444066513410522-3.9302421343311713e-08j),(-0.02315499792108415-2.378697466688145e-09j),(-0.0673999755750531-0.06069530373576569j),(-0.0231549979205853-1.9168031272452627e-09j)
SS-p,1e-09,35.0,4.3,0.4487989505128276,51,(-0.10605522748377696-0.055026644563747854j),(0.03534877625331987-3.686907226360277e-08j),(-0.02999610366972137-2.1529333123604777e-09j),(-0.06224461901486533-0.05401059881767649j),(-0.02999610366971744-1.6976873267160314e-09j)
SS-p,1e-09,35.0,4.4,0.4487989505128276,51,(-0.1552904791217666-0.05999194049595126j),(0.04016145798032207-3.250479645321056e-08j),(-0.03251453106522382-1.9677730155208624e-09j),(-0.05380767599032456-0.04732882872569369j),(-0.032514531064525204-1.5100413062547286e-09j)
SS-p,1e-09,35.0,4.5,0.4487989505128276,51,(-0.19995757143411844-0.05669022976857056j),(0.037548971896010384-2.807344448229214e-08j),(-0.030642250802354422-1.854487756155376e-09j),(-0.0426178957236608-0.04126185004145202j),(-0.030642250802203924-1.3963250451164096e-09j)
SS-p,1e-09,35.0,4.6,0.4487989505128276,51,(-0.23787250129366488-0.046464712936927034j),(0.028213650425917676-2.4085898116636293e-08j),(-0.024891696520228403-1.8754170840731494e-09j),(-0.029348270895918564-0.036249597021950804j),(-0.024891696520223314-1.4200144760989418e-09j)
SS-p,1e-09,35.0,4.7,0.4487989505128276,51,(-0.2674656220817791-0.030990196274725174j),(0.013641606098789049-2.1383997815373027e-08j),(-0.016194109484567523-1.914888065202434e-09j),(-0.014760375444357344-0.03256271336846311j),(-0.016194109484508112-1.4544394665819114e-09j)
SS-p,1e-09,35.0,4.8,0.4487989505128276,51,(-0.28788600163734174-0.012112950277970292j),(-0.004223355585817157-1.9587851827034213e-08j),(-0.005706111070146592-1.9891294671951067e-09j),(0.000372063046297977-0.03031062562575415j),(-0.0057061110701741155-1.5340136274025546e-09j)
SS-p,1e-09,35.0,4.9,0.4487989505128276,51,(-0.29900428382353617+0.008330808130857306j),(-0.023320695469973396-1.923122800343774e-08j),(0.00538346784214711-2.1480123906898397e-09j),(0.015340552823315541-0.02946240222770798j),(0.005383467842181895-1.6881887978602938e-09j)
SS-p,1e-09,35.0,5.0,0.4487989505128276,51,(-0.301313919409906+0.02867760556462786j),(-0.041763804183381-1.8001576604367486e-08j),(0.01601205062245469-2.2257586067253282e-09j),(0.02956113608974284-0.0298795675969855j),(0.016012050622463043-1.7695708997766135e-09j)
SS-p,1e-09,35.0,5.1,0.4487989505128276,51,(-0.29576442622609717+0.047549402446019684j),(-0.058035636263355145-1.7421201833746116e-08j),(0.025344808665168573-2.2945845410833036e-09j),(0.04260510530340012-0.03135464077390933j),(0.025344808665198046-1.8352141359964991e-09j)
SS-p,1e-09,35.0,5.2,0.4487989505128276,51,(-0.28357355462955947+0.06390506034694518j),(-0.07107768565850087-1.7183154503659408e-08j),(0.03281547210296977-2.3367366597075254e-09j),(0.05420125469649638-0.03364790072945613j),(0.032815472102958154-1.8821414423561537e-09j)
SS-p,1e-09,35.0,5.3,0.4487989505128276,51,(-0.26605832987639755+0.07703800953696555j),(-0.08028916535094827-1.6877317407981245e-08j),(0.03811796477828746-2.397586252225094e-09j),(0.06421730884044431-0.03651690609828345j),(0.038117964778279036-1.940084947100807e-09j)
SS-p,1e-09,35.0,5.4,0.4487989505128276,51,(-0.24450734066912252+0.08653774938105019j),(-0.08546738197327924-1.7400133630609107e-08j),(0.041167258617449166-2.4009155534935847e-09j),(0.0726305875431316-0.03973658222501564j),(0.04116725861741926-1.94572235310942e-09j)
SS-p,1e-09,35.0,5.5,0.4487989505128276,51,(-0.22009935037481604+0.09223400319765529j),(-0.08672053655315837-1.8010185202415096e-08j),(0.04204709501780969-2.4253876431102105e-09j),(0.07949656421874549-0.04311041410055949j),(0.04204709501781153-1.9687928847360555e-09j)
SS-p,1e-09,35.0,5.6,0.4487989505128276,51,(-0.19386205944540286+0.09413810808621315j),(-0.08437646730648012-1.8868110451075838e-08j),(0.04095738437222242-2.4380155949315816e-09j),(0.08492073798906061-0.04647474581478986j),(0.04095738437222886-1.9799226124399472e-09j)
SS-p,1e-09,35.0,5.7,0.4487989505128276,51,(-0.16666009526720438+0.09239039992299214j),(-0.07890125925270744-2.020135660284795e-08j),(0.03816849221628554-2.463989676999389e-09j),(0.0890363062512819-0.049698503205076516j),(0.03816849221633595-2.011411704356758e-09j)
SS-p,1e-09,35.0,5.8,0.4487989505128276,51,(-0.13920134493561384+0.0872174175033179j),(-0.07083362464793878-2.265183386707269e-08j),(0.033985185440035225-2.5164940106539973e-09j),(0.09198798654620152-0.05268037017132625j),(0.03398518543909268-2.055938122563563e-09j)
