form,rtol,a,omega,phi,N,hopping,onsite,next onsite,NNN,NNN overtop
linear,1e-09,35.0,3.7,0.4487989505128276,51,(0.10695748449947422-0.15365913498676242j),(-3.734428461393347e-08-1.6938987749997045e-06j),(2.3387744260520982e-07-1.7199145032871643e-06j),(4.066140901187677e-05-1.531606069433522e-05j),(4.086034973765809e-05-1.511150338764488e-05j)
linear,1e-09,35.0,3.8,0.4487989505128276,51,(0.09126360203362262-0.10487943819772509j),(-4.0167758688647304e-08-1.7530777154859986e-06j),(-5.530086600951355e-07-1.7434560783460177e-06j),(4.377594666502998e-05-5.578200258956234e-06j),(4.379349334067786e-05-6.0893876268381004e-06j)
linear,1e-09,35.0,3.9,0.4487989505128276,51,(0.061337877698250005-0.05739878271139434j),(-2.6136070879691393e-09-1.8047228431645629e-06j),(3.9700197562806544e-07-1.7840079750462863e-06j),(4.5642719156074116e-05+2.6351774534895834e-06j),(4.563520073996364e-05+3.0196360592321322e-06j)
linear,1e-09,35.0,4.0,0.4487989505128276,51,(0.020580747572428712-0.015804928727968695j),(5.030040051861619e-08-1.8004804146349239e-06j),(5.198881741965561e-07-1.8220612001573783e-06j),(4.575190298548217e-05+1.1669716960345286e-05j),(4.5665116937115865e-05+1.2137319836949306e-05j)
linear,1e-09,35.0,4.1,0.4487989505128276,51,(-0.027024432115981906+0.017029417529279316j),(6.971986882720223e-08-1.7838296392325716e-06j),(-7.997558118565725e-08-1.816930529929733e-06j),(4.034069241126069e-05+1.938849574478833e-05j),(4.047053950929829e-05+1.928364737310552e-05j)
linear,1e-09,35.0,4.2,0.4487989505128276,51,(-0.07750550966854303+0.039771250044697455j),(6.259108472532818e-08-1.7500798932359717e-06j),(2.7969935865426905e-07-1.7790146673982924e-06j),(3.6175679004018754e-05+2.5636119165961058e-05j),(3.6259847935832734e-05+2.596398858966016e-05j)
linear,1e-09,35.0,4.3,0.4487989505128276,51,(-0.12730293032916035+0.052331343828054835j),(5.1435879504951355e-08-1.7321231861589482e-06j),(2.5628808186578186e-07-1.761447052374229e-06j),(3.125865903701088e-05+3.123851546402444e-05j),(3.119789874469472e-05+3.1479005153216884e-05j)
linear,1e-09,35.0,4.4,0.4487989505128276,51,(-0.17349543641908313+0.05552855480661171j),(5.6772027755974674e-08-1.7158283888528392e-06j),(5.213579018659847e-07-1.7265243864935774e-06j),(2.5854123322917484e-05+3.5371379763861495e-05j),(2.5510301051761934e-05+3.571325881612168e-05j)
linear,1e-09,35.0,4.5,0.4487989505128276,51,(-0.2138918855284804+0.05077196012690816j),(2.0880640593315403e-08-1.7343499162609328e-06j),(-1.859880819406884e-08-1.7029569878596042e-06j),(1.9747244724766574e-05+3.932091173995298e-05j),(1.977337981827129e-05+3.9304766998743586e-05j)
linear,1e-09,35.0,4.6,0.4487989505128276,51,(-0.24702493385369295+0.03978787980287391j),(5.956551005693826e-09-1.7153140236375556e-06j),(-5.290279371005305e-07-1.7057185177990892e-06j),(1.3208265620849818e-05+4.16793852569121e-05j),(1.374675359343009e-05+4.156125990151943e-05j)
linear,1e-09,35.0,4.7,0.4487989505128276,51,(-0.2720859149072754+0.024404983170718018j),(7.494900923157131e-09-1.6854847772788874e-06j),(5.756428564929195e-07-1.6949866052404768e-06j),(8.259598860575011e-06+4.250674124617001e-05j),(7.724478112741857e-06+4.268556967209551e-05j)
linear,1e-09,35.0,4.8,0.4487989505128276,51,(-0.2888246494541731+0.006396476418781062j),(1.1014779706386424e-08-1.7165928966873355e-06j),(-1.5990017170584847e-07-1.686379461649e-06j),(1.7453334643181882e-06+4.344877052462267e-05j),(1.926649731006161e-06+4.34255180392675e-05j)
linear,1e-09,35.0,4.9,0.4487989505128276,51,(-0.2974349236016035-0.01262567852636975j),(-1.2032814772355849e-08-1.68032679557118e-06j),(4.0027319737033495e-07-1.7059248678800797e-06j),(-3.2758525899453245e-06+4.313327245474392e-05j),(-3.6894267735412822e-06+4.318693342288268e-05j)
linear,1e-09,35.0,5.0,0.4487989505128276,51,(-0.2984452441851661-0.03127334288617576j),(1.6748538039096372e-08-1.717210766969064e-06j),(-2.1642997590116952e-07-1.6873938369240132e-06j),(-9.197479454918652e-06+4.234708321746949e-05j),(-8.98784205635543e-06+4.2432034125723965e-05j)
linear,1e-09,35.0,5.1,0.4487989505128276,51,(-0.2926137325099162-0.04841128933395429j),(-6.819880563058156e-10-1.7003255990761998e-06j),(4.4119871103059927e-07-1.6864791105065065e-06j),(-1.3418693865292763e-05+4.085053068190157e-05j),(-1.3874680486510547e-05+4.078089476871206e-05j)
linear,1e-09,35.0,5.2,0.4487989505128276,51,(-0.28084132531028455-0.06316181695927661j),(-3.402255488243414e-08-1.6997962083016617e-06j),(-5.163404395401583e-07-1.6905926435743244e-06j),(-1.8864146438310643e-05+3.862159231711275e-05j),(-1.8450171842188633e-05+3.8897478563394185e-05j)
linear,1e-09,35.0,5.3,0.4487989505128276,51,(-0.2640991688800637-0.07489249834927673j),(-4.393064427911462e-08-1.7261141357496955e-06j),(-5.61930521947307e-07-1.71758320980137e-06j),(-2.3631543831902557e-05+3.7303890045349195e-05j),(-2.3205045139999478e-05+3.757403309663683e-05j)
linear,1e-09,35.0,5.4,0.4487989505128276,51,(-0.24337077685906727-0.08319288374382175j),(-1.4125896614914073e-08-1.7476402324110653e-06j),(-2.257135224385809e-08-1.7165174411101688e-06j),(-2.6926929068633258e-05+3.4767575370259576e-05j),(-2.691365777519536e-05+3.477479321430544e-05j)
linear,1e-09,35.0,5.5,0.4487989505128276,51,(-0.21960921420744348-0.08784572529358406j),(-3.279286894461442e-08-1.729368857670094e-06j),(3.953712915472432e-07-1.7474121849805522e-06j),(-3.0392278477448745e-05+3.2515476294874956e-05j),(-3.071600489455619e-05+3.2228432242188253e-05j)
linear,1e-09,35.0,5.6,0.4487989505128276,51,(-0.1937077225776497-0.08879609531993202j),(2.883303023420991e-10-1.7468264838178427e-06j),(5.168760050192761e-07-1.75469713480629e-06j),(-3.334878752321959e-05+2.9442534662317966e-05j),(-3.375710678378422e-05+2.9089545200466742e-05j)
linear,1e-09,35.0,5.7,0.4487989505128276,51,(-0.16647869814723093-0.08612001039075029j),(-7.386712993877331e-08-1.7821868052850981e-06j),(-5.621940934773598e-07-1.768713141673565e-06j),(-3.734404274420989e-05+2.5777481889688683e-05j),(-3.705781199266002e-05+2.6184951860682565e-05j)
linear,1e-09,35.0,5.8,0.4487989505128276,51,(-0.13864406508520874-0.07999626792381183j),(-6.65294867807642e-08-1.7506719719610028e-06j),(-1.3316298540580473e-07-1.778830255548282e-06j),(-3.925861592508575e-05+2.256381647021508e-05j),(-3.9287600332361776e-05+2.267063150481136e-05j)
linear,1e-09,35.0,5.9,0.4487989505128276,51,(-0.11082800266277595-0.07067913709735373j),(-4.528380677238492e-08-1.758179561619732e-06j),(-2.485082234177788e-08-1.7885884744330636e-06j),(-4.098899469692649e-05+1.906138155525984e-05j),(-4.104688146402144e-05+1.9070033514822365e-05j)
linear,1e-09,35.0,6.0,0.4487989505128276,51,(-0.08355866098913517-0.05847596559940465j),(-7.758986031279483e-09-1.8286854841098363e-06j),(-1.8909572350577636e-07-1.7972448223613888e-06j),(-4.33243132067307e-05+1.561212233089804e-05j),(-4.3250781351658824e-05+1.5756203823903518e-05j)
linear,1e-09,35.0,6.1,0.4487989505128276,51,(-0.05727129464996484-0.043727586648764215j),(-6.285872740546849e-08-1.7896929429359841e-06j),(-3.490407901017307e-07-1.813388639979891e-06j),(-4.414900209833e-05+1.1713185724481802e-05j),(-4.418238313519678e-05+1.2037260898288115e-05j)
linear,1e-09,35.0,6.2,0.4487989505128276,51,(-0.03231439603647925-0.02679264854078134j),(1.167514370764729e-08-1.82301798941435e-06j),(5.728739475334898e-07-1.8201815476299135e-06j),(-4.5807590262115454e-05+9.250633390969591e-06j),(-4.600278269409076e-05+8.705559492640496e-06j)
linear,1e-09,35.0,6.3,0.4487989505128276,51,(-0.008955925762322722-0.008033036168838222j),(9.134221981239377e-09-1.8290084357603133e-06j),(-5.46527273066603e-07-1.8104987491316743e-06j),(-4.760142791972207e-05+4.626274708006742e-06j),(-4.761725753351418e-05+5.192090549509026e-06j)
linear,1e-09,35.0,6.4,0.4487989505128276,51,(0.012606358062829053+0.012194463334404864j),(-2.45001172648196e-09-1.7979710444652428e-06j),(-1.4476240656452043e-08-1.8289362899756147e-06j),(-4.5103180529237655e-05+1.4644805294268624e-06j),(-4.524012019779998e-05+1.5110540899235594e-06j)
