form,rtol,a,omega,phi,N,hopping,hopping back,onsite,next onsite,NNN overtop,NNN star,NNN square
SS-p,1.0000000000000001e-11,35.0,3.7,0.4487989505128276,51,(0.18478886681474124+0.007012234291602373j),(0.18478886681389123-0.007012234269646964j),(0.045139882536371606-2.3058938439235455e-10j),(-0.020990738020361256-2.0500961127222164e-11j),(-0.020990738020172057-1.5963011386867373e-11j),(-0.049911022357856674+0.001717426666763163j),(-0.04991102236184905-0.001717426746263559j)
SS-p,1.0000000000000001e-11,35.0,3.8,0.4487989505128276,51,(0.14706591975405295+0.010763327969556202j),(0.14706591974204503-0.010763327855318833j),(0.04560486808881334-2.5119144264618143e-10j),(-0.020353932262603652-2.1857215312846985e-11j),(-0.020353932288961075+4.727374301210952e-10j),(-0.0758622687216159+0.005975599904365685j),(-0.07586226874643237-0.005975600127511901j)
SS-p,1.0000000000000001e-11,35.0,3.9,0.4487989505128276,51,(0.09732494856217673+0.012446718547386326j),(0.09732494855637353-0.01244671850977476j),(0.033431020277765844-2.814983871002319e-10j),(-0.011841332086736146-2.2832407551658267e-11j),(-0.011841332087840804-2.011982080340109e-11j),(-0.09110979357742116+0.010866136244826033j),(-0.09110979358386245-0.010866136293637377j)
SS-p,1.0000000000000001e-11,35.0,4.0,0.4487989505128276,51,(0.04251816035145351+0.01259085831143623j),(0.04251816034246491-0.012590858263590883j),(0.01436044970548671-3.159158108723137e-10j),(0.0003276002307191576-2.3315978759200174e-11j),(0.0003276002307515939-1.9245322103672917e-11j),(-0.09585409734338471+0.015490767096362622j),(-0.09585409735114647-0.015490767120498142j)
SS-p,1.0000000000000001e-11,35.0,4.1,0.4487989505128276,51,(-0.013140665564853984+0.01204025111547709j),(-0.013140665577502549-0.012040251063929589j),(-0.0059622466939905795-3.4334983120554163e-10j),(0.01275421087525697-2.2742352372639112e-11j),(0.012754210875239617-1.7757180290974044e-11j),(-0.09380254146386696+0.019595713174146552j),(-0.09380254147216849-0.019595713164434314j)
SS-p,1.0000000000000001e-11,35.0,4.2,0.4487989505128276,51,(-0.06750011970176784+0.011325138057531565j),(-0.06750011971714187-0.011325138011564786j),(-0.023444078599027293-3.5053757119207773e-10j),(0.023155001627574945-2.1026497068568508e-11j),(0.023155001627872086-1.6874866970404764e-11j),(-0.0876758665497645+0.023229740806868505j),(-0.08767586655766146-0.0232297407608043j)
SS-p,1.0000000000000001e-11,35.0,4.3,0.4487989505128276,51,(-0.11901217768130876+0.010571370584578799j),(-0.11901217769776931-0.01057137054794089j),(-0.03534879061892526-3.3496849044523103e-10j),(0.029996107735243135-1.886567331028932e-11j),(0.029996107735125607-1.639547206686269e-11j),(-0.07810533139458128+0.02628869566172062j),(-0.07810533140139149-0.02628869558586009j)
SS-p,1.0000000000000001e-11,35.0,4.4,0.4487989505128276,51,(-0.1661870460815439+0.00980029267386947j),(-0.1661870460980284-0.009800292646930386j),(-0.040161471069296906-3.0437389067494713e-10j),(0.03251453457286724-1.6911499146068977e-11j),(0.03251453457262017-1.1499601265536106e-11j),(-0.06567391763560206+0.02867439358181237j),(-0.06567391764153342-0.028674393485299866j)
SS-p,1.0000000000000001e-11,35.0,4.5,0.4487989505128276,51,(-0.2076445377680489+0.008976460573096909j),(-0.2076445377831018-0.008976460557407896j),(-0.037548982528801816-2.7010373104818797e-10j),(0.030642253216079402-1.5682454194765526e-11j),(0.0306422532160301-1.0917050391102572e-11j),(-0.050995320219045855+0.03030350463756913j),(-0.05099532022323589-0.030303504533466193j)
SS-p,1.0000000000000001e-11,35.0,4.6,0.4487989505128276,51,(-0.2422345127237978+0.008047285083910498j),(-0.24223451273716523-0.008047285077394689j),(-0.028213656388392103-2.397932252068413e-10j),(0.024891697854984112-1.5182594715512178e-11j),(0.02489169785496214-1.0332936158144257e-11j),(-0.03473920117680571+0.03112140417504052j),(-0.03473920117972285-0.031121404069333152j)
SS-p,1.0000000000000001e-11,35.0,4.7,0.4487989505128276,51,(-0.2691647654822336+0.00697164869634016j),(-0.26916476549400675-0.006971648697311511j),(-0.013641606406082444-2.162704527183118e-10j),(0.016194109726428926-1.515672541385661e-11j),(0.01619410972646141-1.0486785330415982e-11j),(-0.017610421432433992+0.031113847897461425j),(-0.01761042143436441-0.03111384779359971j)
SS-p,1.0000000000000001e-11,35.0,4.8,0.4487989505128276,51,(-0.28808366486683784+0.005735861461788874j),(-0.28808366487716053-0.005735861468844707j),(0.004223360211335045-1.9896722909930418e-10j),(0.005706110145378592-1.5498940865361657e-11j),(0.0057061101453756225-1.0829562902947302e-11j),(-0.00029914340663475173+0.030311425565938223j),(-0.0002991434078381052-0.030311425465348703j)
SS-p,1.0000000000000001e-11,35.0,4.9,0.4487989505128276,51,(-0.29908861384960295+0.004357574661381562j),(-0.29908861385865343-0.004357574673608108j),(0.02332070468074941-1.8706685397766598e-10j),(-0.005383469925884796-1.60344616552221e-11j),(-0.0053834699258980675-1.1455693103847174e-11j),(0.016576258134525654+0.028785291866885773j),(0.016576258133939255-0.028785291769969207j)
