a,omega,phi,N,localisation,hopping,onsite,next onsite,NNN,NNN overtop
5.0,3.7,0.0,51.0,0.2220917219228636,0.08822215393035024,,,,
5.0,3.7,0.4487989505128276,51.0,0.235475444261082,0.0496681323948643,,,,
5.0,3.7,0.5235987755982988,51.0,0.23701622453820306,0.03677025529666863,,,,
5.0,3.7,0.6283185307179586,51.0,0.2386716045320911,0.01658601660217984,,,,
5.0,3.7,0.7853981633974483,51.0,0.2399641231487904,-0.01668947515700403,,,,
5.0,3.7,1.0471975511965976,51.0,0.2388877466911824,-0.037571869602634686,,,,
5.0,3.7,1.5707963267948966,51.0,0.22716307274490405,-0.09739261406506082,,,,
5.0,3.8,0.0,51.0,0.2040860002615295,0.11175130293140173,,,,
5.0,3.8,0.4487989505128276,51.0,0.21488483025842064,0.0748418026314469,,,,
5.0,3.8,0.5235987755982988,51.0,0.21604731528312496,0.0621267769106657,,,,
5.0,3.8,0.6283185307179586,51.0,0.2172360898984712,0.041892951908880316,,,,
5.0,3.8,0.7853981633974483,51.0,0.21799380903845253,0.007698743628285062,,,,
5.0,3.8,1.0471975511965976,51.0,0.21653310073527568,-0.05165178958324853,,,,
5.0,3.8,1.5707963267948966,51.0,0.2060469999887783,-0.0978487914978519,,,,
5.0,3.9,0.0,51.0,0.18934428652822727,0.1437225250855673,,,,
5.0,3.9,0.4487989505128276,51.0,0.1981072703080228,0.10708703050920362,,,,
5.0,3.9,0.5235987755982988,51.0,0.19898883258235428,0.09427973622785717,,,,
5.0,3.9,0.6283185307179586,51.0,0.19984103079956547,0.0737363018596361,,,,
5.0,3.9,0.7853981633974483,51.0,0.20023766588495145,0.0386467366426373,,,,
5.0,3.9,1.0471975511965976,51.0,0.1986022908039013,-0.023103933471041543,,,,
5.0,3.9,1.5707963267948966,51.0,0.18924149136361906,-0.0803029864028859,,,,
5.0,4.0,0.0,51.0,0.17771720412746805,0.1846772954408921,,,,
5.0,4.0,0.4487989505128276,51.0,0.1847350710214488,0.13439152470908258,,,,
5.0,4.0,0.5235987755982988,51.0,0.1853842779646793,0.11755348528583502,,,,
5.0,4.0,0.6283185307179586,51.0,0.18596077849532305,0.09121718286812176,,,,
5.0,4.0,0.7853981633974483,51.0,0.18607207894508607,0.07482988934049714,,,,
