Hamiltonian,method,rtol,atol,a,b,c,omega,phi,localisation
OSC,BDF,0.001,1e-06,20,na,na,2.0,0.0,0.5884879719309094
OSC,BDF,0.001,1e-06,20,na,na,2.4745762711864407,0.0,0.8126013710583838
OSC,BDF,0.001,1e-06,20,na,na,2.949152542372881,0.0,0.4741755690259207
OSC,BDF,0.001,1e-06,20,na,na,3.423728813559322,0.0,0.8682279697166153
OSC,BDF,0.001,1e-06,20,na,na,3.898305084745763,0.0,0.9162338696865876
OSC,BDF,0.001,1e-06,20,na,na,4.372881355932203,0.0,0.5286090220582047
OSC,BDF,0.001,1e-06,20,na,na,4.847457627118644,0.0,0.3510744890899353
OSC,BDF,0.001,1e-06,20,na,na,5.322033898305085,0.0,0.30245124573748944
OSC,BDF,0.001,1e-06,20,na,na,5.796610169491526,0.0,0.3383508449493029
OSC,BDF,0.001,1e-06,20,na,na,6.271186440677966,0.0,0.4282992463570597
OSC,BDF,0.001,1e-06,20,na,na,6.745762711864408,0.0,0.5912021136984472
OSC,BDF,0.001,1e-06,20,na,na,7.220338983050849,0.0,0.8049487492042894
OSC,BDF,0.001,1e-06,20,na,na,7.694915254237287,0.0,1.0271389367320014
OSC,BDF,0.001,1e-06,20,na,na,8.16949152542373,0.0,1.0678010135990588
OSC,BDF,0.001,1e-06,20,na,na,8.64406779661017,0.0,1.0767730693234776
OSC,BDF,0.001,1e-06,20,na,na,9.118644067796607,0.0,1.0541696976586263
OSC,BDF,0.001,1e-06,20,na,na,9.593220338983054,0.0,0.9582152772469668
OSC,BDF,0.001,1e-06,20,na,na,10.067796610169491,0.0,0.7934950427928696
OSC,BDF,0.001,1e-06,20,na,na,10.542372881355933,0.0,0.646090458638367
OSC,BDF,0.001,1e-06,20,na,na,11.016949152542374,0.0,0.4725269332819124
OSC,BDF,0.001,1e-06,20,na,na,11.491525423728811,0.0,0.3970032146440456
OSC,BDF,0.001,1e-06,20,na,na,11.966101694915256,0.0,0.325593386389281
OSC,BDF,0.001,1e-06,20,na,na,12.440677966101697,0.0,0.26448034826739497
OSC,BDF,0.001,1e-06,20,na,na,12.915254237288135,0.0,0.2279920875807312
OSC,BDF,0.001,1e-06,20,na,na,13.389830508474574,0.0,0.20354289422887809
OSC,BDF,0.001,1e-06,20,na,na,13.864406779661017,0.0,0.18390748248444594
OSC,BDF,0.001,1e-06,20,na,na,14.338983050847466,0.0,0.16603000602316426
OSC,BDF,0.001,1e-06,20,na,na,14.813559322033901,0.0,0.16107217373609126
OSC,BDF,0.001,1e-06,20,na,na,15.288135593220339,0.0,0.15244398487737265
OSC,BDF,0.001,1e-06,20,na,na,15.762711864406779,0.0,0.14790767157310386
OSC,BDF,0.001,1e-06,20,na,na,16.23728813559322,0.0,0.1462386462831888
OSC,BDF,0.001,1e-06,20,na,na,16.71186440677966,0.0,0.14658893231847792
OSC,BDF,0.001,1e-06,20,na,na,17.186440677966107,0.0,0.14624720636529726
OSC,BDF,0.001,1e-06,20,na,na,17.661016949152547,0.0,0.14825119275604245
OSC,BDF,0.001,1e-06,20,na,na,18.135593220338983,0.0,0.14913035950866807
OSC,BDF,0.001,1e-06,20,na,na,18.610169491525426,0.0,0.15226095631848202
OSC,BDF,0.001,1e-06,20,na,na,19.084745762711865,0.0,0.15265077967033056
OSC,BDF,0.001,1e-06,20,na,na,19.559322033898304,0.0,0.15601861974364806
OSC,BDF,0.001,1e-06,20,na,na,20.033898305084747,0.0,0.15824817496904076
OSC,BDF,0.001,1e-06,20,na,na,20.508474576271187,0.0,0.15587707879640528
OSC,BDF,0.001,1e-06,20,na,na,20.983050847457626,0.0,0.15915327114813427
OSC,BDF,0.001,1e-06,20,na,na,21.45762711864407,0.0,0.15978561532059196
OSC,BDF,0.001,1e-06,20,na,na,21.932203389830512,0.0,0.16472794642309585
OSC,BDF,0.001,1e-06,20,na,na,22.40677966101695,0.0,0.1643002445883821
OSC,BDF,0.001,1e-06,20,na,na,22.881355932203395,0.0,0.16517824687196894
OSC,BDF,0.001,1e-06,20,na,na,23.355932203389827,0.0,0.16592800728112692
OSC,BDF,0.001,1e-06,20,na,na,23.830508474576273,0.0,0.16936928798316128
OSC,BDF,0.001,1e-06,20,na,na,24.30508474576272,0.0,0.1726079298362879
OSC,BDF,0.001,1e-06,20,na,na,24.77966101694915,0.0,0.17123546849811175
OSC,BDF,0.001,1e-06,20,na,na,25.254237288135595,0.0,0.173053920091385
OSC,BDF,0.001,1e-06,20,na,na,25.728813559322035,0.0,0.1796163248752519
OSC,BDF,0.001,1e-06,20,na,na,26.203389830508474,0.0,0.17857698381798773
OSC,BDF,0.001,1e-06,20,na,na,26.67796610169493,0.0,0.1806883090186604
OSC,BDF,0.001,1e-06,20,na,na,27.15254237288136,0.0,0.1831768589708085
OSC,BDF,0.001,1e-06,20,na,na,27.627118644067803,0.0,0.1808824690537692
OSC,BDF,0.001,1e-06,20,na,na,28.10169491525424,0.0,0.1810785794968608
OSC,BDF,0.001,1e-06,20,na,na,28.576271186440678,0.0,0.18923776441477724
OSC,BDF,0.001,1e-06,20,na,na,29.05084745762712,0.0,0.18495456446339886
OSC,BDF,0.001,1e-06,20,na,na,29.525423728813557,0.0,0.1864500427886832
OSC,BDF,0.001,1e-06,20,na,na,30.0,0.0,0.18907406581924224
OSC,BDF,0.001,1e-06,20,na,na,1.0,0.0,0.6237425609408026
OSC,BDF,0.001,1e-06,20,na,na,1.0677966101694916,0.0,0.6650709479609761
OSC,BDF,0.001,1e-06,20,na,na,1.1355932203389831,0.0,0.5998358296422857
OSC,BDF,0.001,1e-06,20,na,na,1.2033898305084745,0.0,0.6653786340865053
OSC,BDF,0.001,1e-06,20,na,na,1.2711864406779658,0.0,0.6549588483293428
OSC,BDF,0.001,1e-06,20,na,na,1.3389830508474576,0.0,0.5748789086309756
OSC,BDF,0.001,1e-06,20,na,na,1.4067796610169492,0.0,0.5995487902993769
OSC,BDF,0.001,1e-06,20,na,na,1.4745762711864407,0.0,0.6350470679664331
OSC,BDF,0.001,1e-06,20,na,na,1.5423728813559319,0.0,0.6343459644877559
OSC,BDF,0.001,1e-06,20,na,na,1.610169491525424,0.0,0.6130946852631779
OSC,BDF,0.001,1e-06,20,na,na,1.6779661016949152,0.0,0.6279366739228701
OSC,BDF,0.001,1e-06,20,na,na,1.7457627118644068,0.0,0.6647466084953458
OSC,BDF,0.001,1e-06,20,na,na,1.8135593220338984,0.0,0.7026608819418108
OSC,BDF,0.001,1e-06,20,na,na,1.8813559322033897,0.0,0.6498037513961803
OSC,BDF,0.001,1e-06,20,na,na,1.9491525423728813,0.0,0.6039024689216417
OSC,BDF,0.001,1e-06,20,na,na,2.016949152542373,0.0,0.5800467957721963
OSC,BDF,0.001,1e-06,20,na,na,2.084745762711864,0.0,0.5807922724201514
OSC,BDF,0.001,1e-06,20,na,na,2.152542372881356,0.0,0.6364107947479823
OSC,BDF,0.001,1e-06,20,na,na,2.220338983050848,0.0,0.7151338305565124
OSC,BDF,0.001,1e-06,20,na,na,2.2881355932203387,0.0,0.7927882253333267
OSC,BDF,0.001,1e-06,20,na,na,2.3559322033898304,0.0,0.8746960625513032
OSC,BDF,0.001,1e-06,20,na,na,2.423728813559322,0.0,0.8507999444948391
OSC,BDF,0.001,1e-06,20,na,na,2.4915254237288136,0.0,0.7969665506146297
OSC,BDF,0.001,1e-06,20,na,na,2.5593220338983054,0.0,0.7303850875685082
OSC,BDF,0.001,1e-06,20,na,na,2.6271186440677967,0.0,0.647019214693388
OSC,BDF,0.001,1e-06,20,na,na,2.694915254237288,0.0,0.5626644071403526
OSC,BDF,0.001,1e-06,20,na,na,2.7627118644067794,0.0,0.5136184423935085
OSC,BDF,0.001,1e-06,20,na,na,2.8305084745762716,0.0,0.4840868354328859
OSC,BDF,0.001,1e-06,20,na,na,2.898305084745763,0.0,0.4729477834360377
OSC,BDF,0.001,1e-06,20,na,na,2.9661016949152543,0.0,0.4759339458768526
